Detailed Statistics Departures  
Origin Airport: Asheville, NC: Asheville Regional (AVL)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5085","N576NN","CLT","12:41","12:30","68","55","-11","12:46","16","0","0","0","0","0"
"OH","12/01/2021","5092","N582NN","CLT","20:08","19:58","71","70","-10","20:18","20","0","0","0","0","0"
"OH","12/01/2021","5489","N572NN","CLT","07:00","08:27","75","72","87","08:48","21","84","0","0","0","0"
"OH","12/01/2021","5513","N613NN","CLT","18:10","18:06","67","61","-4","18:20","14","0","0","0","0","0"
"OH","12/01/2021","5576","N718PS","CLT","14:28","14:22","77","70","-6","14:54","32","0","0","0","0","0"
"OH","12/01/2021","5707","N567NN","PHL","10:24","10:16","111","93","-8","10:28","12","0","0","0","0","0"
"OH","12/01/2022","5085","N588NN","CLT","11:05","10:52","67","65","-13","11:06","14","0","0","0","0","0"
"OH","12/01/2022","5092","N572NN","CLT","20:39","20:31","67","74","-8","21:00","29","0","0","0","0","0"
"OH","12/01/2022","5655","N518AE","DCA","13:52","13:56","93","85","4","14:05","9","0","0","0","0","0"
"OH","12/01/2023","5092","N570NN","CLT","18:30","18:19","69","62","-11","18:38","19","0","0","0","0","0"
"OH","12/01/2023","5170","N539EA","DCA","14:49","15:02","91","84","13","15:15","13","0","0","0","0","0"
"OH","12/01/2023","5172","N602NN","CLT","11:10","11:04","69","58","-6","11:24","20","0","0","0","0","0"
"OH","12/01/2023","5489","N581NN","CLT","05:55","05:43","74","45","-12","05:56","13","0","0","0","0","0"
"OH","12/01/2023","5513","N618NN","CLT","14:36","14:35","69","79","-1","15:13","38","0","0","0","0","0"
"OH","12/01/2023","5530","N612NN","CLT","16:18","16:25","69","78","7","17:07","42","1","0","9","0","6"
"OH","12/01/2023","5596","N571NN","DCA","19:44","19:33","93","92","-11","19:50","17","0","0","0","0","0"
"OH","12/02/2021","5085","N579NN","CLT","12:41","12:35","68","56","-6","12:49","14","0","0","0","0","0"
"OH","12/02/2021","5091","N583NN","CLT","08:57","08:46","77","73","-11","09:00","14","0","0","0","0","0"
"OH","12/02/2021","5092","N504AE","CLT","20:08","19:56","71","75","-12","20:18","22","0","0","0","0","0"
"OH","12/02/2021","5348","N614NN","CLT","05:18","05:08","71","43","-10","05:22","14","0","0","0","0","0"
"OH","12/02/2021","5489","N606NN","CLT","06:13","06:04","70","51","-9","06:23","19","0","0","0","0","0"
"OH","12/02/2021","5513","N606NN","CLT","18:10","18:20","67","73","10","18:53","33","1","0","6","0","9"
"OH","12/02/2021","5576","N519AE","CLT","14:28","14:19","77","59","-9","14:35","16","0","0","0","0","0"
"OH","12/02/2022","5085","N612NN","CLT","11:05","10:56","67","56","-9","11:08","12","0","0","0","0","0"
"OH","12/02/2022","5092","N562NN","CLT","20:39","20:31","67","81","-8","21:00","29","0","0","0","0","0"
"OH","12/02/2022","5655","N720PS","DCA","13:52","13:43","93","99","-9","13:53","10","0","0","0","0","0"
"OH","12/02/2023","5112","N617NN","DCA","14:26","14:15","93","78","-11","14:34","19","0","0","0","0","0"
"OH","12/02/2023","5158","N575NN","CLT","18:31","18:21","69","80","-10","19:00","39","0","0","0","0","0"
"OH","12/02/2023","5172","N599NN","CLT","11:10","11:49","69","59","39","12:02","13","0","0","0","0","29"
"OH","12/02/2023","5489","N576NN","CLT","05:55","05:49","74","93","-6","06:36","47","0","0","0","0","0"
"OH","12/02/2023","5530","N574NN","CLT","16:18","16:15","69","67","-3","16:37","22","0","0","0","0","0"
"OH","12/02/2023","5596","N702PS","DCA","19:14","19:06","91","72","-8","19:18","12","0","0","0","0","0"
"OH","12/03/2021","5085","N582NN","CLT","12:41","12:31","68","65","-10","12:50","19","0","0","0","0","0"
"OH","12/03/2021","5091","N552NN","CLT","08:57","08:46","77","68","-11","09:02","16","0","0","0","0","0"
