Detailed Statistics Departures  
Origin Airport: Greer, SC: Greenville-Spartanburg International (GSP)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5031","N542EA","DCA","07:32","07:27","95","115","-5","07:44","17","0","0","15","0","0"
"OH","12/01/2021","5035","N546FF","DCA","10:31","10:25","88","78","-6","10:37","12","0","0","0","0","0"
"OH","12/01/2021","5113","N542EA","DCA","15:53","15:48","89","90","-5","16:07","19","0","0","0","0","0"
"OH","12/01/2021","5175","N588NN","PHL","07:35","07:27","104","90","-8","07:39","12","0","0","0","0","0"
"OH","12/01/2021","5250","N561NN","CLT","07:01","06:55","76","49","-6","07:07","12","0","0","0","0","0"
"OH","12/01/2021","5293","N500AE","CLT","15:58","15:52","75","66","-6","16:05","13","0","0","0","0","0"
"OH","12/01/2021","5299","N606NN","CLT","12:40","12:34","75","76","-6","13:02","28","0","0","0","0","0"
"OH","12/01/2021","5310","N524AE","CLT","18:23","18:15","69","78","-8","18:53","38","0","0","0","0","0"
"OH","12/01/2021","5381","N512AE","CLT","10:53","10:55","76","66","2","11:14","19","0","0","0","0","0"
"OH","12/01/2021","5633","N719PS","CLT","14:20","14:22","73","74","2","14:47","25","0","0","0","0","0"
"OH","12/01/2021","5635","N576NN","CLT","09:05","08:59","78","69","-6","09:11","12","0","0","0","0","0"
"OH","12/01/2022","5031","N615NN","DCA","07:36","07:24","104","80","-12","07:39","15","0","0","0","0","0"
"OH","12/01/2022","5175","N560NN","PHL","09:00","08:54","112","100","-6","09:05","11","0","0","0","0","0"
"OH","12/01/2022","5251","N515AE","DCA","10:42","10:31","97","106","-11","10:46","15","0","0","0","0","0"
"OH","12/01/2022","5290","N548NN","CLT","20:20","20:13","68","64","-7","20:29","16","0","0","0","0","0"
"OH","12/01/2022","5310","N564NN","CLT","18:10","18:02","68","67","-8","18:26","24","0","0","0","0","0"
"OH","12/01/2022","5381","N572NN","CLT","11:10","11:03","68","62","-7","11:20","17","0","0","0","0","0"
"OH","12/01/2023","5016","N567NN","CLT","07:00","07:02","67","81","2","07:37","35","2","0","14","0","0"
"OH","12/01/2023","5205","N563NN","CLT","12:34","12:29","69","56","-5","12:42","13","0","0","0","0","0"
"OH","12/01/2023","5267","N517AE","DCA","11:20","11:15","99","93","-5","11:29","14","0","0","0","0","0"
"OH","12/01/2023","5269","N545PB","CLT","16:49","16:42","64","60","-7","16:58","16","0","0","0","0","0"
"OH","12/01/2023","5274","N605NN","CLT","08:52","08:47","67","64","-5","08:59","12","0","0","0","0","0"
"OH","12/01/2023","5275","N570NN","CLT","14:36","14:32","69","50","-4","14:42","10","0","0","0","0","0"
"OH","12/01/2023","5333","N611NN","PHL","08:00","07:52","107","98","-8","08:06","14","0","0","0","0","0"
"OH","12/01/2023","5344","N557NN","CLT","05:29","05:23","67","79","-6","06:05","42","0","0","0","0","0"
"OH","12/01/2023","5381","N618NN","CLT","11:10","11:08","69","61","-2","11:24","16","0","0","0","0","0"
"OH","12/02/2021","5031","N545PB","DCA","07:32","07:26","95","90","-6","07:41","15","0","0","0","0","0"
"OH","12/02/2021","5035","N710PS","DCA","10:31","10:28","88","88","-3","10:45","17","0","0","0","0","0"
"OH","12/02/2021","5113","N535EA","DCA","15:53","15:46","89","96","-7","16:03","17","0","0","0","0","0"
"OH","12/02/2021","5175","N575NN","PHL","07:35","07:27","104","96","-8","07:42","15","0","0","0","0","0"
"OH","12/02/2021","5250","N589NN","CLT","07:01","06:55","76","69","-6","07:21","26","0","0","0","0","0"
"OH","12/02/2021","5299","N612NN","CLT","12:40","12:33","75","74","-7","12:57","24","0","0","0","0","0"
"OH","12/02/2021","5310","N580NN","CLT","18:23","20:08","69","86","105","20:42","34","0","0","17","0","105"
"OH","12/02/2021","5344","N583NN","CLT","05:30","05:22","72","54","-8","05:43","21","0","0","0","0","0"
"OH","12/02/2021","5381","N513AE","CLT","10:53","10:53","76","54","0","11:04","11","0","0","0","0","0"
"OH","12/02/2021","5633","N511AE","CLT","14:20","14:17","73","65","-3","14:33","16","0","0","0","0","0"
"OH","12/02/2021","5635","N579NN","CLT","09:05","08:57","78","67","-8","09:15","18","0","0","0","0","0"
"OH","12/02/2022","5031","N587NN","DCA","07:36","07:27","104","122","-9","08:05","38","0","0","0","0","0"
"OH","12/02/2022","5175","N557NN","PHL","09:00","08:53","112","99","-7","09:09","16","0","0","0","0","0"
"OH","12/02/2022","5251","N702PS","DCA","10:42","10:36","97","87","-6","10:51","15","0","0","0","0","0"
"OH","12/02/2022","5290","N590NN","CLT","20:20","20:12","68","49","-8","20:23","11","0","0","0","0","0"
"OH","12/02/2022","5310","N582NN","CLT","18:10","18:02","68","66","-8","18:23","21","0","0","0","0","0"
"OH","12/02/2022","5381","N577NN","CLT","11:10","11:01","68","57","-9","11:17","16","0","0","0","0","0"
"OH","12/02/2023","5016","N604NN","CLT","07:00","06:55","67","92","-5","07:48","53","0","0","20","0","0"
"OH","12/02/2023","5205","N603NN","CLT","12:34","12:26","69","47","-8","12:38","12","0","0","0","0","0"
"OH","12/02/2023","5267","N529EA","DCA","11:25","11:19","94","80","-6","11:37","18","0","0","0","0","0"
"OH","12/02/2023","5274","N615NN","CLT","08:52","08:44","67","81","-8","09:02","18","0","0","0","0","0"
"OH","12/02/2023","5275","N580NN","CLT","14:36","14:27","69","58","-9","14:43","16","0","0","0","0","0"
"OH","12/02/2023","5333","N602NN","PHL","08:00","07:53","107","103","-7","08:11","18","0","0","0","0","0"
"OH","12/02/2023","5344","N601EN","CLT","05:29","05:23","67","57","-6","05:39","16","0","0","0","0","0"
"OH","12/02/2023","5381","N568NN","CLT","11:10","11:03","69","51","-7","11:17","14","0","0","0","0","0"
"OH","12/03/2021","5031","N542EA","DCA","07:32","07:25","95","81","-7","07:39","14","0","0","0","0","0"
"OH","12/03/2021","5035","N531EG","DCA","10:31","10:23","88","83","-8","10:36","13","0","0","0","0","0"
"OH","12/03/2021","5113","N519AE","DCA","15:53","15:50","89","108","-3","16:10","20","0","0","16","0","0"
"OH","12/03/2021","5175","N608NN","PHL","07:35","12:26","104","99","291","12:44","18","286","0","0","0","0"
"OH","12/03/2021","5250","N578NN","CLT","07:01","06:54","76","74","-7","07:32","38","0","0","0","0","0"
"OH","12/03/2021","5299","N614NN","CLT","12:40","12:36","75","86","-4","13:16","40","0","0","0","0","0"
"OH","12/03/2021","5310","N562NN","CLT","18:23","18:16","69","77","-7","18:55","39","0","0","0","0","0"
"OH","12/03/2021","5344","N612NN","CLT","05:30","05:30","72","50","0","05:44","14","0","0","0","0","0"
"OH","12/03/2021","5381","N504AE","CLT","10:53","10:51","76","63","-2","11:06","15","0","0","0","0","0"
"OH","12/03/2021","5633","N723PS","CLT","14:20","14:10","73","77","-10","14:31","21","0","0","0","0","0"
"OH","12/03/2021","5635","N594NN","CLT","09:05","08:56","78","59","-9","09:13","17","0","0","0","0","0"
"OH","12/03/2022","5031","N569NN","DCA","06:46","06:43","104","92","-3","06:56","13","0","0","0","0","0"
"OH","12/03/2022","5175","N581NN","PHL","09:00","08:50","112","111","-10","09:18","28","0","0","0","0","0"
"OH","12/03/2022","5251","N544EA","DCA","10:22","10:13","97","87","-9","10:28","15","0","0","0","0","0"
"OH","12/03/2022","5290","N536EA","CLT","20:20","20:15","68","64","-5","20:27","12","0","0","0","0","0"
"OH","12/03/2022","5310","N590NN","CLT","18:30","18:34","68","63","4","18:53","19","0","0","0","0","0"
"OH","12/03/2022","5381","N554NN","CLT","11:05","10:58","68","67","-7","11:16","18","0","0","0","0","0"
"OH","12/03/2023","5016","N564NN","CLT","07:00","06:54","67","67","-6","07:13","19","0","0","0","0","0"
"OH","12/03/2023","5147","N540EG","DCA","19:45","00:00","94","0","0","00:00","0","0","0","0","0","0"
"OH","12/03/2023","5205","N597NN","CLT","12:34","12:28","69","61","-6","12:39","11","0","0","0","0","0"
"OH","12/03/2023","5267","N602NN","DCA","11:49","11:45","99","75","-4","11:58","13","0","0","0","0","0"
"OH","12/03/2023","5269","N531EG","CLT","16:49","16:43","64","63","-6","17:09","26","0","0","0","0","0"
"OH","12/03/2023","5274","N572NN","CLT","08:52","08:43","67","73","-9","09:04","21","0","0","0","0","0"
"OH","12/03/2023","5275","N588NN","CLT","14:36","15:34","69","55","58","15:51","17","0","0","0","0","44"
"OH","12/03/2023","5333","N550NN","PHL","08:00","07:51","107","94","-9","08:06","15","0","0","0","0","0"
"OH","12/03/2023","5344","N582NN","CLT","05:29","06:23","67","47","54","06:34","11","34","0","0","0","0"
