Detailed Statistics Departures  
Origin Airport: Gunnison, CO: Gunnison-Crested Butte Regional (GUC)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/15/2022","6073","N86322","IAH","12:06","11:56","154","134","-10","12:13","17","0","0","0","0","0"
"YV","12/16/2021","6132","N85370","IAH","12:05","11:58","155","139","-7","12:12","14","0","0","0","0","0"
"YV","12/16/2022","6073","N82366","IAH","12:06","12:00","154","144","-6","12:24","24","0","0","0","0","0"
"YV","12/17/2021","6132","N87353","IAH","12:05","11:56","155","139","-9","12:10","14","0","0","0","0","0"
"YV","12/17/2022","6073","N85358","IAH","12:06","12:04","154","128","-2","12:14","10","0","0","0","0","0"
"YV","12/18/2021","6132","N85320","IAH","12:05","13:09","155","153","64","13:19","10","62","0","0","0","0"
"YV","12/18/2022","6073","N87339","IAH","12:06","12:03","154","133","-3","12:15","12","0","0","0","0","0"
"YV","12/19/2021","6132","N87318","IAH","12:05","11:55","155","148","-10","12:15","20","0","0","0","0","0"
"YV","12/19/2022","6073","N85340","IAH","12:06","11:58","154","136","-8","12:08","10","0","0","0","0","0"
"YV","12/20/2021","6132","N83329","IAH","12:05","12:25","155","132","20","12:37","12","0","0","0","0","0"
"YV","12/20/2022","6073","N87302","IAH","12:06","11:59","154","128","-7","12:09","10","0","0","0","0","0"
"YV","12/21/2021","6132","N88331","IAH","12:05","12:08","155","129","3","12:23","15","0","0","0","0","0"
"YV","12/21/2022","6073","N85340","IAH","12:06","12:59","154","135","53","13:11","12","0","0","34","0","0"
"YV","12/21/2023","6125","N86336","IAH","12:08","12:01","156","138","-7","12:15","14","0","0","0","0","0"
"YV","12/22/2021","6132","N87302","IAH","12:05","11:53","155","147","-12","12:24","31","0","0","0","0","0"
"YV","12/22/2022","6073","N83329","IAH","12:06","14:39","154","124","153","14:51","12","123","0","0","0","0"
"YV","12/22/2023","6125","N87319","IAH","12:08","12:02","156","129","-6","12:14","12","0","0","0","0","0"
"YV","12/23/2021","6132","N88346","IAH","12:05","12:12","155","126","7","12:22","10","0","0","0","0","0"
"YV","12/23/2022","6073","N85351","IAH","12:06","12:03","154","125","-3","12:13","10","0","0","0","0","0"
"YV","12/23/2023","6125","N85354","IAH","12:08","15:29","156","157","201","15:45","16","11","0","1","0","190"
"YV","12/24/2021","6132","N86316","IAH","12:05","00:00","155","0","0","00:00","0","0","0","0","0","0"
"YV","12/24/2022","6073","N85351","IAH","12:06","12:16","154","136","10","12:33","17","0","0","0","0","0"
"YV","12/24/2023","6125","N85340","IAH","12:08","13:50","156","145","102","14:10","20","91","0","0","0","0"
"YV","12/25/2021","6132","N87318","IAH","12:05","12:00","155","133","-5","12:15","15","0","0","0","0","0"
"YV","12/25/2022","6073","N84307","IAH","12:06","11:58","154","130","-8","12:11","13","0","0","0","0","0"
"YV","12/25/2023","6125","N86311","IAH","12:08","12:00","156","141","-8","12:20","20","0","0","0","0","0"
"YV","12/26/2021","6132","N89304","IAH","12:05","10:06","155","141","1321","10:25","19","0","0","0","0","1307"
"YV","12/26/2022","6073","N86344","IAH","12:06","12:27","154","160","21","13:07","40","0","0","27","0","0"
"YV","12/26/2023","6125","N88341","IAH","12:08","12:01","156","142","-7","12:16","15","0","0","0","0","0"
"YV","12/27/2021","6132","N85358","IAH","12:05","12:09","155","144","4","12:23","14","0","0","0","0","0"
"YV","12/27/2022","6073","N80348","IAH","12:06","12:03","154","142","-3","12:16","13","0","0","0","0","0"
"YV","12/27/2023","6125","N86311","IAH","12:08","12:06","156","144","-2","12:26","20","0","0","0","0","0"
"YV","12/28/2021","6132","N86316","IAH","12:05","00:00","155","0","0","00:00","0","0","0","0","0","0"
"YV","12/28/2022","6073","N89342","IAH","12:06","00:00","154","0","0","00:00","0","0","0","0","0","0"
"YV","12/28/2023","6125","N88301","IAH","12:08","12:58","156","140","50","13:10","12","7","0","0","0","27"
"YV","12/29/2021","6132","N85355","IAH","12:05","12:01","155","140","-4","12:16","15","0","0","0","0","0"
"YV","12/29/2022","6073","N89342","IAH","12:06","12:30","154","140","24","12:47","17","0","0","0","0","0"
"YV","12/29/2023","6125","N80348","IAH","12:08","11:59","156","158","-9","12:30","31","0","0","0","0","0"
"YV","12/30/2021","6132","N86347","IAH","12:05","00:00","155","0","0","00:00","0","0","0","0","0","0"
"YV","12/30/2022","6073","N86312","IAH","12:06","14:19","154","146","133","14:38","19","125","0","0","0","0"
"YV","12/30/2023","6125","N85358","IAH","12:08","11:55","156","133","-13","12:11","16","0","0","0","0","0"
"YV","12/31/2021","6132","N85355","IAH","12:05","00:00","155","0","0","00:00","0","0","0","0","0","0"
"YV","12/31/2022","6073","N82333","IAH","12:06","00:00","154","0","0","00:00","0","0","0","0","0","0"
"YV","12/31/2023","6125","N87319","IAH","12:08","14:22","156","145","134","14:45","23","123","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
