Detailed Statistics Departures  
Origin Airport: Harrisburg, PA: Harrisburg International (MDT)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","0451","N815AW","CLT","06:09","06:10","111","96","1","06:33","23","0","0","0","0","0"
"AA","12/01/2021","0977","N830AW","DFW","07:00","06:59","230","250","-1","07:50","51","0","0","19","0","0"
"AA","12/01/2022","0674","N9004F","DFW","06:15","06:13","232","226","-2","06:25","12","0","0","0","0","0"
"AA","12/01/2022","2434","N809AW","CLT","08:50","08:48","111","95","-2","09:01","13","0","0","0","0","0"
"AA","12/01/2022","2676","N758US","CLT","12:24","12:28","111","96","4","12:43","15","0","0","0","0","0"
"AA","12/01/2023","0977","N601AW","DFW","06:14","06:16","230","250","2","06:47","31","2","0","20","0","0"
"AA","12/01/2023","1775","N647AW","CLT","12:04","12:01","103","111","-3","12:25","24","0","0","0","0","0"
"AA","12/02/2021","0451","N818AW","CLT","06:09","06:06","111","97","-3","06:29","23","0","0","0","0","0"
"AA","12/02/2021","0977","N713UW","DFW","07:00","06:58","230","198","-2","07:13","15","0","0","0","0","0"
"AA","12/02/2022","0674","N751UW","DFW","06:15","06:12","232","227","-3","06:46","34","0","0","0","0","0"
"AA","12/02/2022","2434","N828AW","CLT","08:50","08:48","111","101","-2","09:16","28","0","0","0","0","0"
"AA","12/02/2022","2676","N769US","CLT","12:24","12:27","111","77","3","12:38","11","0","0","0","0","0"
"AA","12/02/2023","0977","N651AW","DFW","06:14","06:12","230","244","-2","06:37","25","0","0","0","0","0"
"AA","12/03/2021","0451","N764US","CLT","06:09","06:13","111","84","4","06:24","11","0","0","0","0","0"
"AA","12/03/2021","0977","N769US","DFW","07:00","07:09","230","206","9","07:19","10","0","0","0","0","0"
