Detailed Statistics Departures  
Origin Airport: Hartford, CT: Bradley International (BDL)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","1207","N723FR","MCO","17:59","17:54","196","180","-5","18:07","13","0","0","0","0","0"
"F9","12/01/2022","0115","N344FR","SJU","11:10","11:10","277","279","0","11:36","26","0","0","0","0","0"
"F9","12/01/2022","0747","N383FR","DEN","09:09","09:36","278","269","27","09:48","12","18","0","0","0","0"
"F9","12/01/2022","1207","N718FR","MCO","18:08","20:48","197","188","160","21:08","20","37","0","0","0","114"
"F9","12/01/2022","1559","N352FR","ATL","20:35","21:48","169","137","73","21:59","11","2","0","5","0","34"
"F9","12/01/2022","2035","N382FR","LAS","21:56","22:48","356","386","52","23:07","19","1","0","57","0","24"
"F9","12/01/2023","1683","N705FR","MCO","12:19","12:14","204","211","-5","12:58","44","0","0","0","0","0"
"F9","12/02/2021","1209","N382FR","MCO","20:38","20:44","198","196","6","20:57","13","0","0","0","0","0"
"F9","12/02/2022","0115","N392FR","SJU","11:10","11:47","277","253","37","12:02","15","0","0","0","0","0"
"F9","12/02/2022","0747","N372FR","DEN","09:14","09:07","278","285","-7","09:24","17","0","0","0","0","0"
"F9","12/02/2022","1207","N706FR","MCO","18:08","19:15","197","163","67","19:29","14","0","0","0","0","33"
"F9","12/02/2022","1559","N393FR","ATL","20:35","20:50","169","157","15","21:15","25","0","0","0","0","0"
"F9","12/02/2022","2035","N391FR","LAS","22:14","22:03","356","404","-11","22:23","20","0","0","37","0","0"
"F9","12/02/2023","1683","N710FR","MCO","18:19","18:48","204","208","29","19:11","23","29","0","4","0","0"
"F9","12/03/2021","1207","N310FR","MCO","11:35","12:21","195","185","46","12:30","9","7","0","4","0","25"
"F9","12/03/2022","0115","N303FR","SJU","11:10","12:02","277","249","52","12:19","17","24","0","0","0","0"
"F9","12/03/2022","0747","N350FR","DEN","09:09","09:05","278","282","-4","09:20","15","0","0","0","0","0"
"F9","12/03/2022","1207","N723FR","MCO","18:56","19:53","197","183","57","20:02","9","0","0","33","0","10"
"F9","12/03/2022","1559","N395FR","ATL","20:35","20:50","169","150","15","20:59","9","0","0","0","0","0"
"F9","12/03/2022","2035","N346FR","LAS","21:59","21:52","356","393","-7","22:08","16","0","0","30","0","0"
"F9","12/03/2023","1207","N605FR","MCO","09:48","09:41","189","189","-7","09:54","13","0","0","0","0","0"
"F9","12/03/2023","1683","N380FR","MCO","20:22","20:26","194","210","4","20:43","17","0","0","16","0","4"
"F9","12/04/2021","1207","N716FR","MCO","17:59","18:09","196","181","10","18:19","10","0","0","0","0","0"
"F9","12/04/2022","0115","N370FR","SJU","11:10","12:11","277","247","61","12:22","11","0","0","31","0","0"
"F9","12/04/2022","0747","N359FR","DEN","09:09","09:07","278","296","-2","09:20","13","0","0","16","0","0"
"F9","12/04/2022","1207","","MCO","18:22","00:00","197","0","0","00:00","0","0","0","0","0","0"
"F9","12/04/2022","1559","N392FR","ATL","20:35","21:06","169","156","31","21:15","9","0","0","7","0","11"
"F9","12/04/2022","2035","N334FR","LAS","22:15","22:37","356","404","22","22:52","15","22","0","48","0","0"
"F9","12/04/2023","2769","N342FR","MCO","10:49","10:38","193","210","-11","10:54","16","0","0","0","0","0"
"F9","12/05/2021","1209","N719FR","MCO","20:47","20:40","198","177","-7","20:51","11","0","0","0","0","0"
"F9","12/05/2022","0115","N228FR","SJU","11:20","11:22","277","269","2","11:42","20","0","0","0","0","0"
"F9","12/05/2022","0747","N371FR","DEN","09:09","09:06","278","321","-3","09:36","30","0","0","40","0","0"
"F9","12/05/2022","1209","N720FR","MCO","19:38","23:15","196","169","217","23:29","14","0","0","0","0","190"
"F9","12/05/2022","1559","N380FR","ATL","20:48","21:00","169","177","12","21:12","12","0","0","20","0","0"
"F9","12/05/2022","2035","N360FR","LAS","22:15","22:11","339","411","-4","22:24","13","0","0","68","0","0"
"F9","12/05/2023","2769","N358FR","MCO","12:59","12:48","197","202","-11","13:01","13","0","0","0","0","0"
"F9","12/06/2021","1207","N716FR","MCO","11:43","11:53","195","179","10","12:09","16","0","0","0","0","0"
"F9","12/06/2022","0115","N238FR","SJU","11:20","12:29","277","257","69","12:51","22","0","0","0","0","49"
"F9","12/06/2022","0747","N216FR","DEN","09:09","09:05","278","285","-4","09:16","11","0","0","0","0","0"
"F9","12/06/2022","1207","N712FR","MCO","18:07","18:17","197","167","10","18:29","12","0","0","0","0","0"
"F9","12/06/2022","1559","N228FR","ATL","20:48","20:58","169","154","10","21:15","17","0","0","0","0","0"
"F9","12/06/2022","2035","N388FR","LAS","22:15","22:14","339","422","-1","22:39","25","0","0","82","0","0"
"F9","12/06/2023","1683","N380FR","MCO","11:04","10:53","204","176","-11","11:10","17","0","0","0","0","0"
"F9","12/07/2022","0115","N322FR","SJU","11:20","11:23","277","269","3","11:46","23","0","0","0","0","0"
"F9","12/07/2022","0747","N304FR","DEN","09:09","09:02","278","321","-7","09:22","20","0","0","36","0","0"
"F9","12/07/2022","1207","N705FR","MCO","18:05","18:08","197","182","3","18:36","28","0","0","0","0","0"
"F9","12/07/2022","1559","N371FR","ATL","20:37","20:47","169","149","10","21:01","14","0","0","0","0","0"
"F9","12/07/2022","2035","N376FR","LAS","21:59","22:11","339","395","12","22:32","21","12","0","56","0","0"
"F9","12/07/2023","2769","N610FR","MCO","11:04","10:58","193","162","-6","11:10","12","0","0","0","0","0"
