Detailed Statistics Departures  
Origin Airport: Hayden, CO: Yampa Valley (HDN)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/15/2022","2616","N989AN","DFW","10:50","10:50","136","147","0","11:35","45","0","0","0","0","0"
"AA","12/15/2022","2622","N955NN","DFW","14:54","14:47","136","116","-7","14:58","11","0","0","0","0","0"
"AA","12/16/2021","1923","N926NN","DFW","10:53","11:48","137","124","55","12:04","16","0","0","0","0","42"
"AA","12/16/2021","1924","N966NN","DFW","14:52","14:39","138","126","-13","14:52","13","0","0","0","0","0"
"AA","12/16/2021","1936","N941NN","ORD","12:33","12:34","167","164","1","12:46","12","0","0","0","0","0"
"AA","12/16/2022","2616","N838NN","DFW","10:50","10:54","136","139","4","11:21","27","0","0","0","0","0"
"AA","12/16/2022","2622","N822NN","DFW","14:54","14:46","136","125","-8","14:56","10","0","0","0","0","0"
"AA","12/17/2021","1923","N893NN","DFW","10:53","10:50","137","128","-3","11:05","15","0","0","0","0","0"
"AA","12/17/2021","1924","N346PR","DFW","14:52","15:03","138","207","11","16:03","60","0","0","69","0","11"
"AA","12/17/2021","1936","N998NN","ORD","12:33","13:27","167","155","54","13:40","13","0","0","0","0","42"
"AA","12/17/2022","2616","N922NN","DFW","10:50","10:42","136","135","-8","11:07","25","0","0","0","0","0"
"AA","12/17/2022","2622","N896NN","DFW","14:54","14:49","136","125","-5","15:02","13","0","0","0","0","0"
"AA","12/18/2021","1923","N882NN","DFW","10:53","10:49","137","131","-4","11:05","16","0","0","0","0","0"
"AA","12/18/2021","1924","N317PG","DFW","14:52","14:53","138","139","1","15:12","19","0","0","0","0","0"
"AA","12/18/2021","1936","N922AN","ORD","12:33","12:19","167","152","-14","12:35","16","0","0","0","0","0"
"AA","12/18/2022","2616","N964NN","DFW","10:50","10:42","136","120","-8","10:53","11","0","0","0","0","0"
"AA","12/18/2022","2622","N987NN","DFW","14:54","15:02","136","138","8","15:25","23","0","0","0","0","0"
"AA","12/19/2021","1923","N932NN","DFW","10:53","10:43","137","127","-10","10:56","13","0","0","0","0","0"
