Detailed Statistics Departures  
Origin Airport: Hayden, CO: Yampa Valley (HDN)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","4688","N607UX","DEN","15:30","15:23","66","81","-7","15:58","35","0","0","0","0","0"
"OO","12/01/2021","5500","N612UX","DEN","13:15","13:05","66","50","-10","13:17","12","0","0","0","0","0"
"OO","12/01/2021","5559","N623UX","DEN","07:25","07:21","75","67","-4","07:51","30","0","0","0","0","0"
"OO","12/01/2022","5500","N784SK","DEN","13:26","13:20","64","58","-6","13:44","24","0","0","0","0","0"
"OO","12/01/2022","5559","N113SY","DEN","07:30","07:24","81","64","-6","07:52","28","0","0","0","0","0"
"OO","12/01/2023","4650","N150SY","DEN","13:40","13:34","75","84","-6","14:16","42","0","0","0","0","0"
"OO","12/01/2023","5559","N604UX","DEN","07:00","07:03","98","86","3","07:47","44","0","0","0","0","0"
"OO","12/02/2021","4688","N617UX","DEN","15:30","18:29","66","59","179","18:50","21","172","0","0","0","0"
"OO","12/02/2021","5500","N622UX","DEN","13:15","13:05","66","49","-10","13:15","10","0","0","0","0","0"
"OO","12/02/2021","5559","N625UX","DEN","07:25","07:17","75","63","-8","07:43","26","0","0","0","0","0"
"OO","12/02/2022","5500","N788SK","DEN","13:26","14:08","64","90","42","14:54","46","0","0","0","0","68"
"OO","12/02/2022","5559","N207SY","DEN","07:30","09:55","81","98","145","10:49","54","0","162","0","0","0"
"OO","12/02/2023","4650","N165SY","DEN","13:40","14:06","75","78","26","14:44","38","26","0","3","0","0"
"OO","12/02/2023","5559","N143SY","DEN","07:00","06:58","98","121","-2","08:15","77","0","0","21","0","0"
"OO","12/03/2021","4688","N619UX","DEN","15:30","15:22","66","78","-8","16:00","38","0","0","0","0","0"
"OO","12/03/2021","5500","N601UX","DEN","13:15","13:05","66","53","-10","13:22","17","0","0","0","0","0"
"OO","12/03/2021","5559","N602UX","DEN","07:25","07:25","75","79","0","08:04","39","0","0","0","0","0"
"OO","12/03/2022","5500","N779SK","DEN","13:26","13:20","64","51","-6","13:36","16","0","0","0","0","0"
"OO","12/03/2022","5559","N118SY","DEN","07:30","07:27","81","88","-3","08:22","55","0","0","0","0","0"
"OO","12/03/2023","4650","N151SY","DEN","13:40","13:35","75","81","-5","14:15","40","0","0","0","0","0"
"OO","12/03/2023","5559","N143SY","DEN","07:00","08:49","98","127","109","10:05","76","0","0","29","0","109"
"OO","12/04/2021","4688","N601UX","DEN","15:30","15:30","66","68","0","15:52","22","0","0","0","0","0"
"OO","12/04/2021","4759","N609UX","DEN","13:15","13:07","66","59","-8","13:32","25","0","0","0","0","0"
"OO","12/04/2021","5559","N602UX","DEN","07:25","07:15","75","69","-10","07:49","34","0","0","0","0","0"
"OO","12/04/2022","5500","N795SK","DEN","13:26","14:55","64","48","89","15:11","16","73","0","0","0","0"
"OO","12/04/2022","5559","N118SY","DEN","07:30","07:29","81","98","-1","08:34","65","16","0","0","0","0"
"OO","12/04/2023","4650","N136SY","DEN","13:40","14:08","75","58","28","14:25","17","0","0","0","0","0"
