Detailed Statistics Departures  
Origin Airport: Hayden, CO: Yampa Valley (HDN)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/14/2023","1075","N494UA","DEN","13:40","13:39","72","72","-1","14:06","27","0","0","0","0","0"
"UA","12/15/2022","0475","N850UA","DEN","17:36","18:11","65","64","35","18:35","24","0","0","0","0","34"
"UA","12/15/2022","1681","N801UA","IAH","11:48","11:41","163","160","-7","12:13","32","0","0","0","0","0"
"UA","12/15/2022","1729","N802UA","ORD","13:19","13:03","164","191","-16","13:49","46","0","0","0","0","0"
"UA","12/15/2022","1985","N37293","DEN","07:30","07:27","74","95","-3","08:25","58","0","0","18","0","0"
"UA","12/15/2022","1995","N37287","DEN","13:47","13:45","63","75","-2","14:22","37","0","0","0","0","0"
"UA","12/15/2023","1075","N484UA","DEN","13:40","13:36","72","59","-4","13:55","19","0","0","0","0","0"
"UA","12/16/2021","0278","N823UA","DEN","13:15","13:15","64","49","0","13:27","12","0","0","0","0","0"
"UA","12/16/2021","0669","N875UA","ORD","12:45","12:55","163","155","10","13:16","21","0","0","0","0","0"
"UA","12/16/2021","2155","N879UA","IAH","14:58","14:56","169","140","-2","15:06","10","0","0","0","0","0"
"UA","12/16/2022","0475","N899UA","DEN","17:36","17:36","65","60","0","17:48","12","0","0","0","0","0"
"UA","12/16/2022","1681","N840UA","IAH","11:48","12:04","163","155","16","12:26","22","0","0","0","0","0"
"UA","12/16/2022","1729","N877UA","ORD","13:19","13:13","164","143","-6","13:22","9","0","0","0","0","0"
"UA","12/16/2022","1985","N77296","DEN","07:30","07:25","74","76","-5","08:03","38","0","0","0","0","0"
"UA","12/16/2022","1995","N76533","DEN","13:44","13:41","63","53","-3","13:58","17","0","0","0","0","0"
"UA","12/16/2023","0263","N425UA","ORD","13:01","12:58","175","149","-3","13:11","13","0","0","0","0","0"
"UA","12/16/2023","0397","N484UA","DEN","15:28","15:14","72","51","-14","15:28","14","0","0","0","0","0"
"UA","12/16/2023","0650","N896UA","IAH","11:43","11:42","175","151","-1","12:03","21","0","0","0","0","0"
"UA","12/16/2023","1075","N459UA","DEN","13:40","13:35","72","66","-5","13:55","20","0","0","0","0","0"
"UA","12/17/2021","0278","N827UA","DEN","13:15","13:25","64","47","10","13:34","9","0","0","0","0","0"
"UA","12/17/2021","0669","N846UA","ORD","12:45","12:42","163","150","-3","13:01","19","0","0","0","0","0"
"UA","12/17/2021","1131","N898UA","DEN","07:25","07:34","68","103","9","08:43","69","9","0","35","0","0"
"UA","12/17/2021","2155","N851UA","IAH","14:58","15:37","169","152","39","15:55","18","0","11","0","0","11"
"UA","12/17/2022","0265","N14235","EWR","12:00","12:04","234","223","4","12:23","19","0","0","0","0","0"
"UA","12/17/2022","1681","N847UA","IAH","11:48","11:42","163","171","-6","12:25","43","0","0","0","0","0"
"UA","12/17/2022","1729","N805UA","ORD","13:19","13:57","164","149","38","14:09","12","2","0","0","0","21"
"UA","12/17/2022","1985","N37273","DEN","07:30","07:31","74","73","1","08:08","37","0","0","0","0","0"
"UA","12/17/2022","1995","N37290","DEN","13:47","13:48","63","49","1","14:06","18","0","0","0","0","0"
"UA","12/17/2022","2198","N469UA","IAD","15:45","15:36","214","192","-9","15:46","10","0","0","0","0","0"
"UA","12/17/2023","1075","N440UA","DEN","13:40","13:34","72","51","-6","13:51","17","0","0","0","0","0"
"UA","12/18/2021","0278","N875UA","DEN","13:15","13:27","64","48","12","13:41","14","0","0","0","0","0"
"UA","12/18/2021","0415","N468UA","EWR","12:00","12:26","236","233","26","12:46","20","0","0","0","0","23"
"UA","12/18/2021","0669","N835UA","ORD","12:45","12:40","163","151","-5","12:55","15","0","0","0","0","0"
"UA","12/18/2021","1131","N899UA","DEN","07:25","07:17","69","87","-8","08:01","44","0","0","0","0","0"
"UA","12/18/2021","2155","N830UA","IAH","14:58","17:22","169","145","144","17:33","11","0","0","0","0","120"
"UA","12/18/2021","2295","N408UA","IAD","14:00","14:06","224","192","6","14:16","10","0","0","0","0","0"
"UA","12/18/2022","0265","N17264","EWR","12:00","12:46","234","211","46","13:02","16","0","0","23","0","0"
"UA","12/18/2022","1681","N808UA","IAH","11:48","11:56","163","160","8","12:17","21","0","0","0","0","0"
