Detailed Statistics Departures  
Origin Airport: Hobbs, NM: Lea County Regional (HOB)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","4752","N920EV","IAH","06:00","05:48","108","115","-12","06:06","18","0","0","0","0","0"
"OO","12/01/2021","4773","N863AS","IAH","14:00","14:20","97","94","20","14:24","4","17","0","0","0","0"
"OO","12/01/2021","5984","N709BR","DEN","11:00","10:50","105","90","-10","10:54","4","0","0","0","0","0"
"OO","12/02/2021","4752","N699BR","IAH","06:00","05:53","108","109","-7","06:15","22","0","0","0","0","0"
"OO","12/02/2021","4773","N964SW","IAH","14:00","13:55","97","85","-5","13:59","4","0","0","0","0","0"
"OO","12/02/2021","5984","N953SW","DEN","11:00","10:52","105","122","-8","10:57","5","0","0","0","0","0"
"OO","12/03/2021","4752","N693BR","IAH","06:00","05:56","108","107","-4","06:05","9","0","0","0","0","0"
"OO","12/04/2021","4752","N944SW","IAH","06:00","11:51","108","91","351","12:00","9","334","0","0","0","0"
"OO","12/05/2021","4752","N693BR","IAH","06:00","05:53","108","79","-7","05:59","6","0","0","0","0","0"
"OO","12/05/2021","4773","N454SW","IAH","14:00","13:58","97","85","-2","14:04","6","0","0","0","0","0"
"OO","12/05/2021","5984","N925EV","DEN","11:00","10:48","105","102","-12","11:05","17","0","0","0","0","0"
"OO","12/06/2021","4752","N912EV","IAH","06:00","05:50","108","93","-10","06:02","12","0","0","0","0","0"
"OO","12/06/2021","4773","N930EV","IAH","14:00","13:51","97","91","-9","13:57","6","0","0","0","0","0"
"OO","12/06/2021","5984","N453SW","DEN","11:00","16:04","105","115","304","16:16","12","314","0","0","0","0"
"OO","12/07/2021","4752","N929EV","IAH","06:00","05:50","108","104","-10","06:06","16","0","0","0","0","0"
"OO","12/08/2021","4752","N929EV","IAH","06:00","05:59","108","109","-1","06:11","12","0","0","0","0","0"
"OO","12/08/2021","4773","N868AS","IAH","14:00","13:49","97","83","-11","13:55","6","0","0","0","0","0"
"OO","12/08/2021","5984","N906EV","DEN","11:00","10:52","105","86","-8","10:56","4","0","0","0","0","0"
"OO","12/09/2021","4752","N492SW","IAH","06:00","05:51","108","91","-9","06:03","12","0","0","0","0","0"
"OO","12/09/2021","4773","N709BR","IAH","14:00","13:53","97","96","-7","14:03","10","0","0","0","0","0"
"OO","12/09/2021","5984","N930EV","DEN","11:00","10:54","105","94","-6","11:05","11","0","0","0","0","0"
"OO","12/10/2021","4752","N492SW","IAH","06:00","06:09","108","101","9","06:19","10","0","0","0","0","0"
"OO","12/11/2021","4752","N863AS","IAH","06:00","06:57","108","92","57","07:08","11","41","0","0","0","0"
"OO","12/12/2021","4752","N930EV","IAH","06:00","05:46","108","91","-14","05:58","12","0","0","0","0","0"
"OO","12/12/2021","4773","N903EV","IAH","14:00","13:52","97","88","-8","13:58","6","0","0","0","0","0"
