Detailed Statistics Departures  
Origin Airport: Houston, TX: George Bush Intercontinental/Houston (IAH)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","0932","N3008J","BOS","11:14","11:10","213","214","-4","11:25","15","0","0","0","0","0"
"B6","12/01/2021","1882","N569JB","JFK","16:00","15:55","213","222","-5","16:34","39","0","0","0","0","0"
"B6","12/01/2022","0082","N703JB","JFK","12:05","12:38","210","194","33","12:49","11","1","0","0","0","16"
"B6","12/01/2022","0932","N3085J","BOS","13:35","13:33","228","207","-2","13:47","14","0","0","0","0","0"
"B6","12/01/2022","1882","N633JB","JFK","17:01","16:58","209","209","-3","17:15","17","0","0","0","0","0"
"B6","12/01/2023","0082","N763JB","JFK","11:58","11:57","201","204","-1","12:19","22","0","0","0","0","0"
"B6","12/01/2023","0732","N3085J","BOS","15:18","15:27","216","189","9","15:39","12","0","0","0","0","0"
"B6","12/02/2021","0932","N3077J","BOS","11:14","11:07","213","216","-7","11:18","11","0","0","0","0","0"
"B6","12/02/2021","1882","N763JB","JFK","16:00","15:48","213","212","-12","16:02","14","0","0","0","0","0"
"B6","12/02/2022","0082","N784JB","JFK","12:05","11:56","210","219","-9","12:20","24","0","0","0","0","0"
"B6","12/02/2022","0932","N3065J","BOS","13:35","13:55","228","244","20","14:39","44","20","0","16","0","0"
"B6","12/02/2022","1882","N598JB","JFK","17:30","17:19","209","204","-11","17:31","12","0","0","0","0","0"
"B6","12/02/2023","0732","N3065J","BOS","15:18","16:37","216","194","79","16:58","21","40","0","0","0","17"
"B6","12/02/2023","1882","N3062J","JFK","18:42","18:41","209","190","-1","18:56","15","0","0","0","0","0"
"B6","12/03/2021","0932","N3065J","BOS","11:14","11:07","213","209","-7","11:20","13","0","0","0","0","0"
"B6","12/03/2021","1882","N648JB","JFK","16:00","15:57","213","204","-3","16:08","11","0","0","0","0","0"
"B6","12/03/2022","0082","N794JB","JFK","12:05","12:29","210","192","24","12:44","15","0","0","0","0","0"
"B6","12/03/2022","0932","N3077J","BOS","18:37","19:00","220","204","23","19:14","14","0","0","0","0","0"
"B6","12/03/2022","1882","N595JB","JFK","17:30","18:02","209","191","32","18:21","19","0","0","0","0","0"
"B6","12/03/2023","0082","N623JB","JFK","11:58","13:11","201","164","73","13:23","12","5","0","0","0","31"
"B6","12/03/2023","0732","N3132J","BOS","15:18","15:50","216","185","32","16:05","15","0","0","0","0","0"
"B6","12/04/2021","0932","N3008J","BOS","11:14","11:04","213","224","-10","11:25","21","0","0","0","0","0"
"B6","12/04/2021","1882","N636JB","JFK","16:00","15:51","213","193","-9","16:04","13","0","0","0","0","0"
"B6","12/04/2022","0082","N618JB","JFK","12:05","11:57","210","201","-8","12:13","16","0","0","0","0","0"
"B6","12/04/2022","0932","N3008J","BOS","13:35","13:32","228","207","-3","13:47","15","0","0","0","0","0"
"B6","12/04/2022","1882","N556JB","JFK","17:30","18:13","209","200","43","18:25","12","16","0","0","0","18"
"B6","12/04/2023","0082","N775JB","JFK","11:58","11:51","201","182","-7","12:02","11","0","0","0","0","0"
"B6","12/04/2023","0732","N3104J","BOS","15:18","15:48","216","190","30","15:59","11","0","0","0","0","0"
"B6","12/05/2021","0932","N3077J","BOS","11:14","11:10","213","210","-4","11:26","16","0","0","0","0","0"
"B6","12/05/2021","1882","N809JB","JFK","16:27","16:25","214","216","-2","16:44","19","0","0","0","0","0"
"B6","12/05/2022","0082","N655JB","JFK","12:05","12:01","210","193","-4","12:19","18","0","0","0","0","0"
"B6","12/05/2022","0932","N3112J","BOS","13:35","14:21","228","214","46","14:42","21","8","0","0","0","24"
"B6","12/05/2022","1882","N834JB","JFK","17:30","17:24","209","204","-6","17:38","14","0","0","0","0","0"
"B6","12/05/2023","0082","N536JB","JFK","11:58","12:36","201","173","38","12:48","12","0","0","0","0","0"
"B6","12/05/2023","0732","N3145J","BOS","15:18","15:16","216","195","-2","15:32","16","0","0","0","0","0"
"B6","12/06/2021","0932","N3062J","BOS","11:14","13:00","213","215","106","13:23","23","60","0","2","0","46"
"B6","12/06/2021","1882","N606JB","JFK","16:00","16:18","213","193","18","16:32","14","0","0","0","0","0"
"B6","12/06/2022","0082","N641JB","JFK","12:05","12:32","210","197","27","12:43","11","0","0","0","0","0"
"B6","12/06/2022","0932","N3085J","BOS","13:27","13:18","228","204","-9","13:30","12","0","0","0","0","0"
"B6","12/06/2022","1882","N636JB","JFK","17:30","17:30","209","230","0","17:48","18","0","0","21","0","0"
"B6","12/06/2023","0082","N643JB","JFK","11:58","11:58","201","233","0","12:30","32","0","0","32","0","0"
"B6","12/06/2023","0732","N3065J","BOS","15:27","15:17","216","223","-10","15:29","12","0","0","0","0","0"
"B6","12/07/2021","1882","N593JB","JFK","16:00","15:55","213","201","-5","16:09","14","0","0","0","0","0"
"B6","12/07/2022","0082","N564JB","JFK","12:05","11:55","210","206","-10","12:16","21","0","0","0","0","0"
"B6","12/07/2022","0932","N3062J","BOS","13:27","13:16","228","212","-11","13:37","21","0","0","0","0","0"
"B6","12/07/2022","1882","N597JB","JFK","17:30","17:24","209","207","-6","17:41","17","0","0","0","0","0"
"B6","12/07/2023","0082","N537JT","JFK","11:58","11:49","201","205","-9","11:59","10","0","0","0","0","0"
"B6","12/07/2023","0732","N3139J","BOS","15:27","15:17","216","206","-10","15:28","11","0","0","0","0","0"
"B6","12/08/2021","1882","N510JB","JFK","16:00","15:58","213","194","-2","16:08","10","0","0","0","0","0"
"B6","12/08/2022","0082","N564JB","JFK","12:05","11:59","210","196","-6","12:12","13","0","0","0","0","0"
"B6","12/08/2022","0932","N3113J","BOS","13:27","13:21","228","210","-6","13:32","11","0","0","0","0","0"
"B6","12/08/2022","1882","N554JB","JFK","17:30","17:27","209","198","-3","17:38","11","0","0","0","0","0"
"B6","12/08/2023","0082","N607JB","JFK","11:58","11:47","201","187","-11","11:59","12","0","0","0","0","0"
"B6","12/08/2023","0732","N3121J","BOS","15:27","15:18","216","213","-9","15:30","12","0","0","0","0","0"
"B6","12/09/2021","0932","N3062J","BOS","11:14","15:28","213","221","254","15:47","19","0","0","8","0","254"
"B6","12/09/2021","1882","N607JB","JFK","16:00","16:09","213","202","9","16:20","11","0","0","0","0","0"
"B6","12/09/2022","0082","N570JB","JFK","12:05","12:16","210","212","11","12:39","23","0","0","0","0","0"
"B6","12/09/2022","0932","N3104J","BOS","13:27","13:25","228","212","-2","13:43","18","0","0","0","0","0"
"B6","12/09/2022","1882","N584JB","JFK","17:30","17:16","209","220","-14","17:40","24","0","0","0","0","0"
"B6","12/09/2023","0732","N3125J","BOS","15:27","15:26","216","206","-1","15:38","12","0","0","0","0","0"
"B6","12/09/2023","1882","N3104J","JFK","18:45","19:31","209","197","46","19:58","27","0","0","0","0","34"
"B6","12/10/2021","0932","N3062J","BOS","11:14","11:07","213","202","-7","11:20","13","0","0","0","0","0"
