Detailed Statistics Departures  
Origin Airport: Houston, TX: William P Hobby (HOU)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1688","N608AT","ATL","14:53","14:44","119","114","-9","14:53","9","0","0","0","0","0"
"DL","12/01/2021","2088","N966AT","ATL","12:33","13:08","120","102","35","13:16","8","17","0","0","0","0"
"DL","12/01/2021","2329","N338NB","ATL","10:22","10:17","114","103","-5","10:30","13","0","0","0","0","0"
"DL","12/01/2021","2450","N939AT","ATL","07:20","07:13","116","120","-7","07:24","11","0","0","0","0","0"
"DL","12/01/2021","2518","N940AT","ATL","17:10","17:05","125","112","-5","17:14","9","0","0","0","0","0"
"DL","12/01/2021","2808","N970AT","ATL","05:44","05:41","114","109","-3","05:52","11","0","0","0","0","0"
"DL","12/01/2022","0994","N323US","ATL","17:47","17:50","119","105","3","18:01","11","0","0","0","0","0"
"DL","12/01/2022","1338","N341NW","ATL","11:10","11:07","116","104","-3","11:16","9","0","0","0","0","0"
"DL","12/01/2022","2808","N342NW","ATL","06:00","06:00","118","105","0","06:10","10","0","0","0","0","0"
"DL","12/01/2023","1509","N930AT","ATL","10:46","10:42","119","93","-4","10:51","9","0","0","0","0","0"
"DL","12/01/2023","2381","N947AT","ATL","17:00","16:52","120","109","-8","17:05","13","0","0","0","0","0"
"DL","12/01/2023","2557","N947AT","ATL","06:00","05:54","118","117","-6","06:07","13","0","0","0","0","0"
"DL","12/01/2023","2846","N983AT","ATL","13:15","13:09","117","104","-6","13:23","14","0","0","0","0","0"
"DL","12/02/2021","1688","N993AT","ATL","14:53","14:48","119","115","-5","15:03","15","0","0","0","0","0"
"DL","12/02/2021","2088","N990AT","ATL","12:33","12:28","120","109","-5","12:40","12","0","0","0","0","0"
"DL","12/02/2021","2329","N330NB","ATL","10:22","10:18","114","111","-4","10:31","13","0","0","0","0","0"
"DL","12/02/2021","2450","N978AT","ATL","07:20","07:14","116","111","-6","07:24","10","0","0","0","0","0"
"DL","12/02/2021","2518","N377NW","ATL","17:10","17:03","123","114","-7","17:13","10","0","0","0","0","0"
"DL","12/02/2021","2808","N949AT","ATL","05:44","05:42","114","117","-2","05:52","10","0","0","0","0","0"
"DL","12/02/2021","2871","N990AT","ATL","18:45","18:33","122","112","-12","18:42","9","0","0","0","0","0"
"DL","12/02/2022","0994","N341NW","ATL","17:47","17:36","119","103","-11","17:46","10","0","0","0","0","0"
"DL","12/02/2022","1338","N349NW","ATL","11:10","11:05","116","105","-5","11:13","8","0","0","0","0","0"
"DL","12/02/2022","2808","N324US","ATL","06:00","05:57","118","112","-3","06:10","13","0","0","0","0","0"
"DL","12/02/2023","1509","N996AT","ATL","10:46","10:37","119","101","-9","10:46","9","0","0","0","0","0"
"DL","12/02/2023","2381","N603AT","ATL","17:00","16:47","120","108","-13","17:01","14","0","0","0","0","0"
"DL","12/02/2023","2557","N985AT","ATL","06:00","05:55","118","135","-5","06:04","9","0","0","0","0","0"
"DL","12/02/2023","2846","N981AT","ATL","13:15","13:14","117","104","-1","13:25","11","0","0","0","0","0"
"DL","12/03/2021","1688","N927AT","ATL","14:53","14:49","119","104","-4","14:57","8","0","0","0","0","0"
"DL","12/03/2021","2088","N928AT","ATL","12:33","12:26","120","108","-7","12:35","9","0","0","0","0","0"
"DL","12/03/2021","2329","N339NB","ATL","10:22","10:24","114","105","2","10:32","8","0","0","0","0","0"
"DL","12/03/2021","2450","N977AT","ATL","07:20","07:16","116","109","-4","07:25","9","0","0","0","0","0"
"DL","12/03/2021","2518","N981AT","ATL","17:10","17:08","125","111","-2","17:17","9","0","0","0","0","0"
"DL","12/03/2021","2808","N954AT","ATL","05:44","05:41","114","108","-3","05:51","10","0","0","0","0","0"
"DL","12/03/2021","2871","N893AT","ATL","18:45","18:40","122","112","-5","18:49","9","0","0","0","0","0"
"DL","12/03/2022","0994","N369NW","ATL","17:47","17:40","119","134","-7","17:50","10","0","0","0","0","0"
"DL","12/03/2022","1338","N342NW","ATL","11:10","11:07","116","112","-3","11:18","11","0","0","0","0","0"
"DL","12/03/2022","2808","N347NW","ATL","06:00","05:52","118","115","-8","06:03","11","0","0","0","0","0"
"DL","12/03/2023","1509","N940AT","ATL","10:46","10:42","119","99","-4","10:53","11","0","0","0","0","0"
"DL","12/03/2023","2381","N930AT","ATL","17:00","16:52","120","102","-8","17:02","10","0","0","0","0","0"
"DL","12/03/2023","2557","N921AT","ATL","06:00","05:52","118","114","-8","06:02","10","0","0","0","0","0"
"DL","12/03/2023","2846","N895AT","ATL","13:15","13:17","117","105","2","13:31","14","0","0","0","0","0"
"DL","12/04/2021","1688","N921AT","ATL","14:53","14:45","119","108","-8","14:54","9","0","0","0","0","0"
"DL","12/04/2021","2088","N942AT","ATL","12:33","12:29","120","107","-4","12:40","11","0","0","0","0","0"
"DL","12/04/2021","2450","N949AT","ATL","09:00","08:58","115","109","-2","09:11","13","0","0","0","0","0"
"DL","12/04/2021","2518","N955AT","ATL","17:10","17:03","125","106","-7","17:10","7","0","0","0","0","0"
"DL","12/04/2021","2808","N948AT","ATL","05:44","05:40","114","108","-4","05:51","11","0","0","0","0","0"
"DL","12/04/2022","0994","N312US","ATL","17:47","17:44","119","110","-3","17:54","10","0","0","0","0","0"
"DL","12/04/2022","1338","N347NW","ATL","11:10","11:04","116","117","-6","11:22","18","0","0","0","0","0"
"DL","12/04/2022","2808","N375NC","ATL","06:00","05:59","118","115","-1","06:19","20","0","0","0","0","0"
"DL","12/04/2023","1509","N603AT","ATL","10:46","10:42","119","113","-4","10:53","11","0","0","0","0","0"
"DL","12/04/2023","2381","N995AT","ATL","17:00","16:50","120","121","-10","17:09","19","0","0","0","0","0"
