Detailed Statistics Departures  
Origin Airport: Houston, TX: William P Hobby (HOU)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5799","N910FJ","DFW","12:33","12:26","79","71","-7","12:37","11","0","0","0","0","0"
"YV","12/01/2021","5881","N917FJ","DFW","08:44","08:37","78","89","-7","08:57","20","0","0","0","0","0"
"YV","12/01/2021","5916","N953LR","DFW","10:21","10:20","78","72","-1","10:32","12","0","0","0","0","0"
"YV","12/01/2021","5926","N246LR","DFW","18:26","19:39","83","60","73","19:48","9","2","0","0","0","48"
"YV","12/01/2021","5960","N943LR","DFW","06:25","06:20","83","93","-5","06:48","28","0","0","0","0","0"
"YV","12/01/2021","5995","N910FJ","DFW","14:35","15:58","80","62","83","16:10","12","0","0","0","0","65"
"YV","12/01/2022","5730","N933LR","DFW","06:00","05:53","79","62","-7","06:05","12","0","0","0","0","0"
"YV","12/01/2022","5740","N247LR","DFW","10:20","10:11","81","76","-9","10:24","13","0","0","0","0","0"
"YV","12/02/2021","5786","N246LR","DFW","05:00","08:42","72","66","222","08:51","9","216","0","0","0","0"
"YV","12/02/2021","5790","N957LR","DFW","08:44","08:32","78","71","-12","08:44","12","0","0","0","0","0"
"YV","12/02/2021","5799","N934FJ","DFW","12:33","12:31","79","67","-2","12:43","12","0","0","0","0","0"
"YV","12/02/2021","5916","N921FJ","DFW","10:21","10:14","78","75","-7","10:25","11","0","0","0","0","0"
"YV","12/02/2021","5926","N952LR","DFW","18:26","18:21","83","90","-5","18:44","23","0","0","0","0","0"
"YV","12/02/2021","5960","N913FJ","DFW","06:25","06:20","83","78","-5","06:34","14","0","0","0","0","0"
"YV","12/02/2021","5995","N921FJ","DFW","14:34","14:31","80","74","-3","14:41","10","0","0","0","0","0"
"YV","12/02/2022","5730","N920FJ","DFW","06:00","05:57","79","79","-3","06:13","16","0","0","0","0","0"
"YV","12/02/2022","5740","N920FJ","DFW","10:20","10:10","81","85","-10","10:24","14","0","0","0","0","0"
"YV","12/03/2021","5786","","DFW","05:00","00:00","72","0","0","00:00","0","0","0","0","0","0"
"YV","12/03/2021","5790","N952LR","DFW","08:44","08:44","78","74","0","08:53","9","0","0","0","0","0"
"YV","12/03/2021","5799","N939LR","DFW","12:33","19:16","79","69","403","19:30","14","0","0","0","0","393"
"YV","12/03/2021","5916","N913FJ","DFW","10:21","10:39","78","68","18","10:48","9","0","0","0","0","0"
"YV","12/03/2021","5926","N950LR","DFW","18:26","18:27","83","87","1","18:42","15","0","0","0","0","0"
"YV","12/03/2021","5960","N959LR","DFW","06:25","06:19","83","75","-6","06:33","14","0","0","0","0","0"
"YV","12/03/2021","5995","N950LR","DFW","14:34","14:29","80","71","-5","14:41","12","0","0","0","0","0"
"YV","12/03/2022","5730","N247LR","DFW","06:00","05:48","79","71","-12","06:04","16","0","0","0","0","0"
"YV","12/03/2022","5740","N954LR","DFW","10:20","10:29","81","70","9","10:46","17","0","0","0","0","0"
"YV","12/03/2022","5826","N326MS","DFW","18:18","18:08","81","98","-10","18:46","38","0","0","0","0","0"
"YV","12/04/2021","5786","N246LR","DFW","05:00","00:00","72","0","0","00:00","0","0","0","0","0","0"
"YV","12/04/2021","5790","N326MS","DFW","08:44","10:51","78","68","127","11:03","12","6","0","0","0","111"
"YV","12/04/2021","5799","N326MS","DFW","12:33","14:14","79","74","101","14:28","14","0","0","0","0","96"
"YV","12/04/2021","5916","N958LR","DFW","10:21","13:11","78","60","170","13:20","9","7","0","0","0","145"
"YV","12/04/2021","5926","N952LR","DFW","18:26","18:19","83","82","-7","18:33","14","0","0","0","0","0"
"YV","12/04/2021","5960","N245LR","DFW","06:25","06:21","83","85","-4","06:47","26","0","0","0","0","0"
"YV","12/04/2021","5995","N913FJ","DFW","14:34","14:30","80","84","-4","14:44","14","0","0","0","0","0"
"YV","12/04/2022","5730","N933LR","DFW","06:00","06:15","79","74","15","06:34","19","0","0","0","0","0"
"YV","12/04/2022","5740","N958LR","DFW","10:20","13:13","81","70","173","13:24","11","162","0","0","0","0"
"YV","12/05/2021","5790","N943LR","DFW","08:44","12:00","78","81","196","12:12","12","196","0","3","0","0"
"YV","12/05/2021","5799","N248LR","DFW","12:33","12:29","79","77","-4","12:45","16","0","0","0","0","0"
"YV","12/05/2021","5916","N247LR","DFW","10:21","10:11","78","86","-10","10:29","18","0","0","0","0","0"
"YV","12/05/2021","5926","N247LR","DFW","18:26","18:17","83","81","-9","18:29","12","0","0","0","0","0"
"YV","12/05/2021","5960","N945LR","DFW","06:25","06:19","83","78","-6","06:33","14","0","0","0","0","0"
"YV","12/05/2021","5995","N247LR","DFW","14:34","14:30","80","89","-4","14:50","20","0","0","0","0","0"
"YV","12/05/2022","5730","N947LR","DFW","06:00","09:59","79","68","239","10:16","17","228","0","0","0","0"
"YV","12/05/2022","5740","N930LR","DFW","10:20","10:40","81","71","20","10:54","14","0","0","0","0","0"
"YV","12/06/2021","5786","N952LR","DFW","05:00","04:54","72","72","-6","05:06","12","0","0","0","0","0"
"YV","12/06/2021","5790","N928LR","DFW","08:44","09:51","78","79","67","10:01","10","2","0","1","0","65"
"YV","12/06/2021","5799","N914FJ","DFW","12:33","14:18","79","99","105","14:24","6","4","0","20","0","101"
"YV","12/06/2021","5916","N930LR","DFW","10:21","00:00","78","0","0","00:00","0","0","0","0","0","0"
"YV","12/06/2021","5926","N950LR","DFW","18:26","18:27","83","88","1","18:49","22","0","0","0","0","0"
"YV","12/06/2021","5960","N922FJ","DFW","06:25","06:22","83","98","-3","06:41","19","0","0","0","0","0"
"YV","12/06/2021","5995","N915FJ","DFW","14:34","15:08","80","76","34","15:28","20","5","0","0","0","25"
"YV","12/06/2022","5730","N902FJ","DFW","06:00","05:52","79","58","-8","06:02","10","0","0","0","0","0"
"YV","12/06/2022","5740","N248LR","DFW","10:20","11:37","81","66","77","11:51","14","62","0","0","0","0"
"YV","12/07/2021","5790","N942LR","DFW","08:44","08:40","78","74","-4","08:53","13","0","0","0","0","0"
"YV","12/07/2021","5799","N245LR","DFW","12:33","12:44","79","65","11","12:56","12","0","0","0","0","0"
"YV","12/07/2021","5916","N248LR","DFW","10:21","10:12","78","79","-9","10:27","15","0","0","0","0","0"
"YV","12/07/2021","5926","N930LR","DFW","18:26","18:22","83","98","-4","18:40","18","0","0","0","0","0"
"YV","12/07/2021","5960","N930LR","DFW","06:25","00:00","83","0","0","00:00","0","0","0","0","0","0"
"YV","12/07/2021","5995","N249LR","DFW","14:34","14:35","80","80","1","14:53","18","0","0","0","0","0"
"YV","12/07/2022","5730","N920FJ","DFW","06:00","05:54","79","71","-6","06:10","16","0","0","0","0","0"
"YV","12/07/2022","5740","N953LR","DFW","10:20","10:27","81","81","7","10:42","15","0","0","0","0","0"
"YV","12/08/2021","5790","N950LR","DFW","08:44","09:33","78","85","49","09:53","20","0","0","56","0","0"
"YV","12/08/2021","5799","N249LR","DFW","12:33","12:38","79","76","5","12:54","16","0","0","0","0","0"
"YV","12/08/2021","5916","N946LR","DFW","10:21","11:56","78","80","95","12:16","20","0","0","2","0","95"
"YV","12/08/2021","5926","N943LR","DFW","18:26","18:27","83","74","1","18:40","13","0","0","0","0","0"
"YV","12/08/2021","5960","N939LR","DFW","06:25","06:19","83","85","-6","06:38","19","0","0","0","0","0"
"YV","12/08/2021","5995","N935LR","DFW","14:34","14:33","80","80","-1","14:44","11","0","0","0","0","0"
"YV","12/08/2022","5730","N922FJ","DFW","06:00","06:10","79","77","10","06:26","16","0","0","0","0","0"
"YV","12/08/2022","5740","N904FJ","DFW","10:20","10:16","81","75","-4","10:27","11","0","0","0","0","0"
"YV","12/09/2021","5786","N943LR","DFW","05:00","04:53","72","72","-7","05:05","12","0","0","0","0","0"
"YV","12/09/2021","5790","N942LR","DFW","08:44","08:39","78","109","-5","08:53","14","0","0","26","0","0"
"YV","12/09/2021","5799","N938LR","DFW","12:33","15:15","79","73","162","15:30","15","0","0","0","0","156"
"YV","12/09/2021","5916","N912FJ","DFW","10:21","14:35","78","79","254","14:51","16","0","0","1","0","254"
"YV","12/09/2021","5926","N943LR","DFW","18:26","18:38","83","84","12","18:52","14","0","0","0","0","0"
"YV","12/09/2021","5960","N928LR","DFW","06:25","06:19","83","101","-6","07:01","42","0","0","0","0","0"
"YV","12/09/2021","5995","N925FJ","DFW","14:34","15:56","80","75","82","16:09","13","0","0","0","0","77"
"YV","12/09/2022","5730","N938LR","DFW","06:00","05:54","79","62","-6","06:06","12","0","0","0","0","0"
"YV","12/09/2022","5740","N946LR","DFW","10:20","10:28","81","60","8","10:38","10","0","0","0","0","0"
"YV","12/10/2021","5786","N934FJ","DFW","05:00","04:55","72","59","-5","05:05","10","0","0","0","0","0"
