Detailed Statistics Departures  
Origin Airport: Houston, TX: William P Hobby (HOU)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2022","3044","N732SK","DFW","12:39","12:32","78","76","-7","12:49","17","0","0","0","0","0"
"OO","12/01/2022","3118","N767SK","DFW","18:20","18:10","78","82","-10","18:27","17","0","0","0","0","0"
"OO","12/01/2023","3262","N763SK","DFW","18:26","18:41","84","73","15","18:56","15","0","0","0","0","0"
"OO","12/02/2022","3044","N720EV","DFW","12:39","12:26","78","69","-13","12:36","10","0","0","0","0","0"
"OO","12/02/2022","3118","N702SK","DFW","18:20","18:49","78","70","29","19:02","13","0","0","0","0","21"
"OO","12/03/2022","3044","N614SK","DFW","12:39","13:08","78","67","29","13:29","21","0","0","0","0","18"
"OO","12/03/2023","3262","N614SK","DFW","18:26","18:17","84","89","-9","18:44","27","0","0","0","0","0"
"OO","12/04/2022","3044","N767SK","DFW","12:39","12:47","78","70","8","13:06","19","0","0","0","0","0"
"OO","12/04/2022","3118","N630SK","DFW","18:20","18:24","78","94","4","18:42","18","0","0","0","0","20"
"OO","12/04/2023","3262","N709SK","DFW","18:26","18:16","84","77","-10","18:31","15","0","0","0","0","0"
"OO","12/05/2022","3044","N755SK","DFW","12:39","12:33","78","71","-6","12:48","15","0","0","0","0","0"
"OO","12/05/2022","3118","N604SK","DFW","18:20","18:15","78","69","-5","18:24","9","0","0","0","0","0"
"OO","12/06/2022","3044","N712SK","DFW","12:39","12:29","78","66","-10","12:39","10","0","0","0","0","0"
"OO","12/06/2022","3118","N748EV","DFW","18:20","18:14","78","76","-6","18:24","10","0","0","0","0","0"
"OO","12/07/2022","3044","N710SK","DFW","12:39","13:27","78","61","48","13:39","12","31","0","0","0","0"
"OO","12/07/2022","3118","N765SK","DFW","18:20","18:34","78","102","14","19:02","28","0","0","0","0","38"
"OO","12/07/2023","4854","N770SK","DFW","20:15","20:06","82","106","-9","20:43","37","0","0","15","0","0"
"OO","12/08/2022","3044","N710SK","DFW","12:39","12:30","78","66","-9","12:40","10","0","0","0","0","0"
"OO","12/08/2022","3118","N756SK","DFW","18:20","18:12","78","103","-8","18:39","27","17","0","0","0","0"
"OO","12/08/2023","4854","N766SK","DFW","20:15","20:05","82","109","-10","20:52","47","0","0","17","0","0"
"OO","12/09/2022","3044","N611SK","DFW","12:39","12:37","78","68","-2","12:50","13","0","0","0","0","0"
"OO","12/09/2022","3118","N778SK","DFW","18:20","18:12","78","76","-8","18:24","12","0","0","0","0","0"
"OO","12/10/2022","3044","N710EV","DFW","12:39","12:32","78","74","-7","12:45","13","0","0","0","0","0"
"OO","12/10/2023","4854","N614SK","DFW","20:15","20:11","82","79","-4","20:27","16","0","0","0","0","0"
"OO","12/11/2022","3044","N728SK","DFW","12:39","13:40","78","60","61","13:50","10","43","0","0","0","0"
"OO","12/11/2022","3118","N656CA","DFW","18:20","18:12","78","85","-8","18:37","25","0","0","0","0","0"
"OO","12/12/2022","3044","N774SK","DFW","12:39","12:32","78","72","-7","12:46","14","0","0","0","0","0"
"OO","12/12/2022","3118","N751SK","DFW","18:20","18:17","78","93","-3","18:44","27","0","0","0","0","0"
"OO","12/13/2022","3044","N773SK","DFW","12:39","14:41","78","114","122","15:24","43","0","158","0","0","0"
"OO","12/13/2022","3118","N732SK","DFW","18:20","18:38","78","88","18","19:02","24","0","0","0","0","28"
"OO","12/14/2022","3044","N751EV","DFW","12:39","12:33","78","70","-6","12:49","16","0","0","0","0","0"
"OO","12/14/2022","3118","N745SK","DFW","18:20","18:10","78","93","-10","18:41","31","0","0","0","0","0"
"OO","12/14/2023","4854","N633SK","DFW","20:15","15:15","82","76","1140","15:27","12","0","0","1134","0","0"
"OO","12/15/2022","3031","N760SK","DFW","12:13","12:08","78","77","-5","12:25","17","0","0","0","0","0"
"OO","12/15/2022","3207","N719EV","DFW","16:33","16:24","78","66","-9","16:36","12","0","0","0","0","0"
"OO","12/15/2023","4854","N773SK","DFW","20:15","20:05","82","74","-10","20:17","12","0","0","0","0","0"
"OO","12/16/2022","3031","N758SK","DFW","12:13","12:03","78","74","-10","12:17","14","0","0","0","0","0"
"OO","12/16/2022","3207","N751SK","DFW","16:33","16:31","78","99","-2","17:04","33","19","0","0","0","0"
"OO","12/18/2022","3031","N753EV","DFW","12:13","12:08","78","71","-5","12:21","13","0","0","0","0","0"
"OO","12/18/2022","3207","N732SK","DFW","16:33","17:08","78","70","35","17:19","11","27","0","0","0","0"
"OO","12/19/2022","3031","N741EV","DFW","12:13","13:16","78","70","63","13:32","16","0","55","0","0","0"
"OO","12/19/2022","3207","N741EV","DFW","16:33","16:49","78","80","16","17:07","18","0","0","0","0","18"
"OO","12/20/2022","3031","N740SK","DFW","12:13","12:37","78","70","24","12:53","16","0","0","0","0","16"
"OO","12/20/2022","3207","N748SK","DFW","16:33","16:26","78","82","-7","16:43","17","0","0","0","0","0"
"OO","12/20/2023","6359","N708SK","DFW","20:20","20:36","80","75","16","20:52","16","0","0","0","0","0"
"OO","12/21/2022","3031","N760SK","DFW","12:13","12:17","78","69","4","12:32","15","0","0","0","0","0"
"OO","12/21/2022","3207","N724EV","DFW","16:33","16:25","78","69","-8","16:37","12","0","0","0","0","0"
"OO","12/21/2023","6359","N770SK","DFW","20:20","20:13","80","95","-7","20:41","28","0","0","0","0","0"
"OO","12/22/2022","3031","N603SK","DFW","12:13","14:55","78","74","162","15:06","11","0","0","0","0","158"
"OO","12/22/2022","3207","N713EV","DFW","16:33","00:00","78","0","0","00:00","0","0","0","0","0","0"
"OO","12/23/2022","3031","N710EV","DFW","12:13","12:23","78","69","10","12:40","17","0","0","0","0","0"
"OO","12/23/2022","3207","N726SK","DFW","16:33","16:28","78","80","-5","16:43","15","0","0","0","0","0"
