Detailed Statistics Departures  
Origin Airport: Huntsville, AL: Huntsville International-Carl T Jones Field (HSV)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","1082","N339FR","MCO","16:34","16:32","109","103","-2","16:41","9","0","0","0","0","0"
"F9","12/03/2021","1082","N339FR","MCO","12:46","12:38","108","113","-8","12:50","12","0","0","0","0","0"
"F9","12/06/2021","1082","N332FR","MCO","19:22","19:11","111","121","-11","19:25","14","0","0","0","0","0"
"F9","12/10/2021","1082","N386FR","MCO","12:42","12:37","108","110","-5","12:50","13","0","0","0","0","0"
"F9","12/13/2021","1082","N233FR","MCO","19:22","19:15","111","118","-7","19:30","15","0","0","0","0","0"
"F9","12/17/2021","1082","N378FR","MCO","11:04","11:22","108","125","18","11:34","12","18","0","17","0","0"
"F9","12/20/2021","1082","N370FR","MCO","16:34","16:35","109","102","1","16:47","12","0","0","0","0","0"
"F9","12/22/2021","1082","N228FR","MCO","19:04","20:56","111","98","112","21:09","13","8","0","37","0","54"
"F9","12/24/2021","1082","N382FR","MCO","10:57","11:01","105","93","4","11:11","10","0","0","0","0","0"
"F9","12/27/2021","1082","N356FR","MCO","16:34","16:33","109","112","-1","16:42","9","0","0","0","0","0"
"F9","12/29/2021","1082","N339FR","MCO","19:04","19:39","111","113","35","19:52","13","35","0","2","0","0"
"F9","12/31/2021","1082","N324FR","MCO","11:02","12:54","108","94","112","13:06","12","0","0","0","0","98"

 SOURCE: Bureau of Transportation Statistics
