Detailed Statistics Departures  
Origin Airport: Huntsville, AL: Huntsville International-Carl T Jones Field (HSV)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5982","N917FJ","DFW","13:39","13:35","135","115","-4","13:47","12","0","0","0","0","0"
"YV","12/01/2022","5760","N919FJ","DFW","07:00","06:55","138","155","-5","07:23","28","0","0","0","0","0"
"YV","12/01/2022","5769","N920FJ","DFW","15:23","15:38","134","130","15","15:50","12","0","0","0","0","0"
"YV","12/01/2022","5814","N244LR","DFW","17:16","17:07","134","127","-9","17:28","21","0","0","0","0","0"
"YV","12/02/2021","5982","N957LR","DFW","13:39","13:48","135","114","9","13:59","11","0","0","0","0","0"
"YV","12/02/2022","5760","N244LR","DFW","07:00","06:51","138","139","-9","07:04","13","0","0","0","0","0"
"YV","12/02/2022","5769","N919FJ","DFW","15:23","15:23","134","144","0","15:40","17","0","0","0","0","0"
"YV","12/02/2022","5814","N928LR","DFW","17:16","17:03","134","127","-13","17:18","15","0","0","0","0","0"
"YV","12/03/2021","5982","N928LR","DFW","13:39","13:38","135","115","-1","13:48","10","0","0","0","0","0"
"YV","12/03/2022","5760","N244LR","DFW","07:00","06:54","138","129","-6","07:09","15","0","0","0","0","0"
"YV","12/03/2022","5769","N944LR","DFW","15:23","00:07","134","135","524","00:40","33","524","0","1","0","0"
"YV","12/03/2022","5813","N952LR","DFW","11:21","11:10","134","116","-11","11:20","10","0","0","0","0","0"
"YV","12/03/2022","5814","N249LR","DFW","17:16","17:11","134","136","-5","17:31","20","0","0","0","0","0"
"YV","12/04/2021","5982","N248LR","DFW","13:35","13:29","135","110","-6","13:41","12","0","0","0","0","0"
"YV","12/04/2022","5760","N919FJ","DFW","07:00","06:53","138","149","-7","07:17","24","0","0","0","0","0"
"YV","12/04/2022","5769","N958LR","DFW","15:23","19:15","134","125","232","19:25","10","0","0","0","0","223"
"YV","12/04/2022","5814","N947LR","DFW","17:16","17:09","134","132","-7","17:22","13","0","0","0","0","0"
"YV","12/05/2021","5982","","DFW","13:39","00:00","135","0","0","00:00","0","0","0","0","0","0"
"YV","12/05/2022","5760","N920FJ","DFW","07:00","06:51","138","140","-9","07:07","16","0","0","0","0","0"
"YV","12/05/2022","5769","N919FJ","DFW","15:23","16:33","134","124","70","16:44","11","0","10","0","0","50"
"YV","12/05/2022","5814","N902FJ","DFW","17:16","21:28","134","119","252","21:43","15","0","0","0","0","237"
"YV","12/06/2021","5982","N928LR","DFW","13:39","15:20","135","124","101","15:35","15","42","0","0","0","48"
"YV","12/06/2022","5760","N904FJ","DFW","07:00","06:56","138","133","-4","07:10","14","0","0","0","0","0"
"YV","12/06/2022","5769","N919FJ","DFW","15:23","15:12","134","116","-11","15:23","11","0","0","0","0","0"
"YV","12/06/2022","5814","N920FJ","DFW","17:16","17:09","134","136","-7","17:25","16","0","0","0","0","0"
"YV","12/07/2021","5982","N920FJ","DFW","13:39","13:37","135","122","-2","13:50","13","0","0","0","0","0"
"YV","12/07/2022","5760","N927LR","DFW","07:00","09:15","138","132","135","09:26","11","129","0","0","0","0"
"YV","12/07/2022","5769","N245LR","DFW","15:23","15:32","134","121","9","15:43","11","0","0","0","0","0"
"YV","12/07/2022","5814","N922FJ","DFW","17:16","17:13","134","118","-3","17:23","10","0","0","0","0","0"
"YV","12/08/2021","5982","N930LR","DFW","13:39","13:35","135","136","-4","13:59","24","0","0","0","0","0"
"YV","12/08/2022","5760","N905J","DFW","07:00","19:18","138","119","738","19:26","8","0","0","0","0","719"
"YV","12/08/2022","5769","N902FJ","DFW","15:23","17:55","134","141","152","18:22","27","0","0","24","0","135"
"YV","12/08/2022","5814","N943LR","DFW","17:16","17:15","134","152","-1","17:49","34","0","0","17","0","0"
"YV","12/09/2021","5982","N908FJ","DFW","13:39","13:58","135","118","19","14:08","10","0","0","0","0","0"
"YV","12/09/2022","5760","N959LR","DFW","07:00","06:52","138","134","-8","07:04","12","0","0","0","0","0"
"YV","12/09/2022","5769","N902FJ","DFW","15:23","15:20","134","122","-3","15:37","17","0","0","0","0","0"
