Detailed Statistics Departures  
Origin Airport: Huntsville, AL: Huntsville International-Carl T Jones Field (HSV)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","2974","N754EV","DFW","15:33","15:35","131","108","2","15:47","12","0","0","0","0","0"
"OO","12/01/2021","4768","N128SY","ORD","07:50","07:44","121","116","-6","07:54","10","0","0","0","0","0"
"OO","12/01/2021","5303","N790SK","DEN","08:25","08:22","190","178","-3","08:34","12","0","0","0","0","0"
"OO","12/01/2022","4139","N833SK","DTW","06:15","06:31","109","104","16","06:41","10","0","0","0","0","0"
"OO","12/01/2022","4641","N132SY","ORD","12:30","12:21","122","114","-9","12:31","10","0","0","0","0","0"
"OO","12/01/2022","4745","N131SY","IAH","06:30","06:19","132","151","-11","06:59","40","0","0","0","0","0"
"OO","12/01/2022","5303","N151SY","DEN","08:07","07:59","201","194","-8","08:16","17","0","0","0","0","0"
"OO","12/01/2022","5393","N794SK","DEN","15:37","15:32","189","185","-5","15:44","12","0","0","0","0","0"
"OO","12/01/2023","4095","N829SK","DTW","14:05","14:07","113","104","2","14:25","18","0","0","0","0","0"
"OO","12/01/2023","4640","N610UX","DEN","08:17","08:12","198","191","-5","08:23","11","0","0","0","0","0"
"OO","12/01/2023","4714","N140SY","ORD","15:10","15:05","120","130","-5","15:22","17","0","0","0","0","0"
"OO","12/01/2023","4853","N774SK","DFW","19:13","19:03","138","141","-10","19:23","20","0","0","0","0","0"
"OO","12/01/2023","5371","N982SW","ORD","07:45","07:45","124","120","0","07:57","12","0","0","0","0","0"
"OO","12/01/2023","5393","N153SY","DEN","15:35","15:31","200","180","-4","15:43","12","0","0","0","0","0"
"OO","12/02/2021","2974","N763SK","DFW","15:33","15:30","131","127","-3","15:48","18","0","0","0","0","0"
"OO","12/02/2021","2996","N611SK","DFW","07:02","06:57","134","136","-5","07:10","13","0","0","0","0","0"
"OO","12/02/2021","4768","N139SY","ORD","07:50","07:42","121","118","-8","07:52","10","0","0","0","0","0"
"OO","12/02/2021","5303","N132SY","DEN","08:25","08:18","196","178","-7","08:32","14","0","0","0","0","0"
"OO","12/02/2022","4139","N833SK","DTW","06:15","06:14","109","109","-1","06:32","18","0","0","0","0","0"
"OO","12/02/2022","4641","N134SY","ORD","12:30","12:20","122","127","-10","12:31","11","0","0","0","0","0"
"OO","12/02/2022","4745","N166SY","IAH","06:30","06:27","132","139","-3","06:50","23","0","0","0","0","0"
"OO","12/02/2022","5303","N121SY","DEN","08:07","08:03","201","208","-4","08:14","11","0","0","0","0","0"
"OO","12/02/2022","5393","N612UX","DEN","15:37","15:32","189","230","-5","15:44","12","36","0","0","0","0"
"OO","12/02/2023","4640","N605UX","DEN","08:17","08:13","198","189","-4","08:24","11","0","0","0","0","0"
"OO","12/02/2023","4714","N200SY","ORD","15:10","15:06","120","125","-4","15:21","15","0","0","0","0","0"
"OO","12/02/2023","5371","N146SY","ORD","07:45","07:35","124","119","-10","07:48","13","0","0","0","0","0"
"OO","12/02/2023","5393","N141SY","DEN","15:35","16:28","200","170","53","16:37","9","0","0","0","0","23"
"OO","12/03/2021","2974","N724SK","DFW","15:33","15:23","131","129","-10","15:39","16","0","0","0","0","0"
"OO","12/03/2021","2996","N752EV","DFW","07:02","06:57","134","132","-5","07:06","9","0","0","0","0","0"
"OO","12/03/2021","4768","N145SY","ORD","07:50","07:50","121","149","0","08:27","37","28","0","0","0","0"
"OO","12/03/2021","5303","N784SK","DEN","08:25","08:25","190","168","0","08:38","13","0","0","0","0","0"
"OO","12/03/2022","4139","N830SK","DTW","06:15","06:10","109","104","-5","06:22","12","0","0","0","0","0"
"OO","12/03/2022","4641","N135SY","ORD","12:30","17:12","122","117","282","17:24","12","277","0","0","0","0"
"OO","12/03/2022","4745","N615UX","IAH","06:30","06:20","132","109","-10","06:34","14","0","0","0","0","0"
"OO","12/03/2022","5303","N209SY","DEN","08:07","08:00","201","203","-7","08:14","14","0","0","0","0","0"
"OO","12/03/2022","5393","N118SY","DEN","15:37","15:33","196","208","-4","15:48","15","0","0","0","0","0"
"OO","12/03/2023","4095","N838SK","DTW","14:05","19:10","113","102","305","19:25","15","0","294","0","0","0"
"OO","12/03/2023","4640","N623UX","DEN","08:17","08:07","198","198","-10","08:21","14","0","0","0","0","0"
"OO","12/03/2023","4714","N211SY","ORD","15:10","15:04","120","130","-6","15:21","17","0","0","0","0","0"
"OO","12/03/2023","4853","N766SK","DFW","19:13","19:13","138","141","0","19:42","29","0","0","0","0","0"
"OO","12/03/2023","5371","N125SY","ORD","07:45","07:37","124","140","-8","07:51","14","0","0","0","0","0"
"OO","12/03/2023","5393","N130SY","DEN","15:35","15:31","200","202","-4","15:44","13","0","0","0","0","0"
"OO","12/04/2021","2974","N750SK","DFW","15:33","15:27","131","119","-6","15:38","11","0","0","0","0","0"
"OO","12/04/2021","2996","N613SK","DFW","07:02","06:57","134","115","-5","07:04","7","0","0","0","0","0"
"OO","12/04/2021","4651","N163SY","ORD","07:50","07:36","121","119","-14","07:44","8","0","0","0","0","0"
"OO","12/04/2021","5723","N788SK","DEN","08:25","08:18","190","185","-7","08:29","11","0","0","0","0","0"
"OO","12/04/2022","4641","N108SY","ORD","12:30","12:26","122","118","-4","12:41","15","0","0","0","0","0"
"OO","12/04/2022","4745","N113SY","IAH","06:30","06:26","132","108","-4","06:37","11","0","0","0","0","0"
