Detailed Statistics Departures  
Origin Airport: Indianapolis, IN: Indianapolis International (IND)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0501","N548AS","SEA","18:23","18:40","300","300","17","18:53","13","17","0","0","0","0"
"AS","12/01/2022","0500","N919AK","SEA","17:00","00:00","294","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2023","0391","N448AS","SEA","18:46","18:44","296","277","-2","18:58","14","0","0","0","0","0"
"AS","12/02/2021","0501","N442AS","SEA","18:23","18:13","300","296","-10","18:28","15","0","0","0","0","0"
"AS","12/02/2022","0500","N237AK","SEA","17:00","17:50","294","286","50","18:04","14","0","0","0","0","42"
"AS","12/02/2023","0391","N953AK","SEA","18:46","18:35","296","286","-11","18:48","13","0","0","0","0","0"
"AS","12/03/2021","0501","N552AS","SEA","18:23","18:09","300","302","-14","18:27","18","0","0","0","0","0"
"AS","12/03/2022","0500","N495AS","SEA","17:00","00:00","294","0","0","00:00","0","0","0","0","0","0"
"AS","12/03/2023","0391","N275AK","SEA","18:46","18:47","296","300","1","19:00","13","0","0","0","0","0"
"AS","12/04/2021","0501","N278AK","SEA","18:23","18:13","300","329","-10","18:30","17","0","0","19","0","0"
"AS","12/04/2022","0500","N224AK","SEA","17:00","16:53","294","293","-7","17:07","14","0","0","0","0","0"
"AS","12/04/2023","0391","N917AK","SEA","18:46","18:43","296","299","-3","18:56","13","0","0","0","0","0"
"AS","12/05/2021","0501","N297AK","SEA","18:23","18:23","300","301","0","18:35","12","0","0","0","0","0"
"AS","12/05/2022","0500","N534AS","SEA","17:00","18:03","294","329","63","18:27","24","25","0","35","0","38"
"AS","12/05/2023","0391","N236AK","SEA","18:46","19:04","296","296","18","19:27","23","18","0","0","0","0"
"AS","12/06/2021","0501","N282AK","SEA","18:23","18:15","300","308","-8","18:27","12","0","0","0","0","0"
"AS","12/06/2022","0500","N292AK","SEA","17:00","16:55","294","321","-5","17:18","23","0","0","22","0","0"
"AS","12/06/2023","0391","N469AS","SEA","18:46","20:07","296","280","81","20:16","9","65","0","0","0","0"
"AS","12/07/2021","0501","N527AS","SEA","18:23","18:14","300","302","-9","18:24","10","0","0","0","0","0"
"AS","12/07/2022","0500","N215AK","SEA","17:00","16:48","294","301","-12","17:07","19","0","0","0","0","0"
"AS","12/07/2023","0391","N926AK","SEA","18:46","18:37","296","282","-9","18:50","13","0","0","0","0","0"
"AS","12/08/2021","0501","N263AK","SEA","18:23","18:02","300","289","-21","18:19","17","0","0","0","0","0"
"AS","12/08/2022","0500","N288AK","SEA","17:00","16:57","294","285","-3","17:24","27","0","0","0","0","0"
"AS","12/08/2023","0391","N407AS","SEA","18:46","18:59","296","273","13","19:10","11","0","0","0","0","0"
"AS","12/09/2021","0501","N459AS","SEA","18:23","18:12","300","310","-11","18:24","12","0","0","0","0","0"
"AS","12/09/2022","0500","N215AK","SEA","17:00","16:56","294","295","-4","17:11","15","0","0","0","0","0"
"AS","12/09/2023","0391","N288AK","SEA","18:46","18:45","296","309","-1","19:01","16","0","0","0","0","0"
"AS","12/10/2021","0501","N457AS","SEA","18:23","18:19","300","295","-4","18:35","16","0","0","0","0","0"
"AS","12/10/2022","0500","N949AK","SEA","17:00","17:04","294","287","4","17:25","21","0","0","0","0","0"
"AS","12/10/2023","0391","N280AK","SEA","18:46","18:51","296","311","5","19:42","51","0","0","20","0","0"
"AS","12/11/2021","0501","N285AK","SEA","18:23","18:14","300","313","-9","18:29","15","0","0","0","0","0"
"AS","12/11/2022","0500","N562AS","SEA","17:00","16:47","294","286","-13","17:05","18","0","0","0","0","0"
"AS","12/11/2023","0391","N913AK","SEA","18:46","18:40","296","271","-6","18:55","15","0","0","0","0","0"
"AS","12/12/2021","0501","N282AK","SEA","18:23","18:20","300","307","-3","18:30","10","0","0","0","0","0"
"AS","12/12/2022","0500","N419AS","SEA","17:00","17:42","294","272","42","18:02","20","0","0","0","0","20"
"AS","12/12/2023","0391","N467AS","SEA","18:46","18:38","296","306","-8","18:56","18","0","0","0","0","0"
"AS","12/13/2021","0501","N278AK","SEA","18:23","18:14","300","296","-9","18:29","15","0","0","0","0","0"
"AS","12/13/2022","0500","N977AK","SEA","17:00","17:52","294","264","52","18:19","27","0","0","0","0","22"
"AS","12/13/2023","0391","N423AS","SEA","18:46","18:54","296","255","8","19:07","13","0","0","0","0","0"
"AS","12/14/2021","0501","N479AS","SEA","18:23","18:22","300","292","-1","18:40","18","0","0","0","0","0"
"AS","12/14/2022","0500","N293AK","SEA","17:00","17:18","294","266","18","17:33","15","0","0","0","0","0"
"AS","12/14/2023","0391","N282AK","SEA","18:45","19:31","297","271","46","19:43","12","0","0","0","0","20"
"AS","12/15/2021","0501","N431AS","SEA","18:23","18:40","300","276","17","18:51","11","0","0","0","0","0"
"AS","12/15/2022","0500","N272AK","SEA","18:25","18:56","308","278","31","19:09","13","0","0","0","0","0"
"AS","12/15/2023","0391","N926AK","SEA","18:45","18:50","297","283","5","19:03","13","0","0","0","0","0"
"AS","12/16/2021","0501","N585AS","SEA","18:28","18:36","301","291","8","18:55","19","0","0","0","0","0"
"AS","12/16/2022","0500","N491AS","SEA","18:25","19:25","308","316","60","20:02","37","18","0","8","0","42"
"AS","12/16/2023","0391","N215AK","SEA","18:45","19:12","297","290","27","19:27","15","0","0","0","0","20"
"AS","12/17/2021","0501","N532AS","SEA","18:28","18:24","301","302","-4","18:40","16","0","0","0","0","0"
"AS","12/17/2022","0500","N952AK","SEA","18:25","19:06","308","365","41","20:09","63","41","0","57","0","0"
"AS","12/17/2023","0391","N453AS","SEA","18:51","18:44","294","286","-7","18:57","13","0","0","0","0","0"
"AS","12/18/2021","0501","N569AS","SEA","18:28","19:11","301","295","43","19:27","16","0","0","0","0","37"
"AS","12/18/2022","0500","N952AK","SEA","18:25","18:22","308","331","-3","18:48","26","0","0","20","0","0"
"AS","12/18/2023","0391","N912AK","SEA","18:45","18:48","297","293","3","19:08","20","0","0","0","0","0"
"AS","12/19/2021","0501","N564AS","SEA","18:28","00:00","301","0","0","00:00","0","0","0","0","0","0"
"AS","12/19/2022","0500","N918AK","SEA","18:25","19:07","308","299","42","19:24","17","0","0","0","0","33"
"AS","12/19/2023","0391","N297AK","SEA","18:45","18:51","297","277","6","18:59","8","0","0","0","0","0"
"AS","12/20/2021","0501","N528AS","SEA","18:28","18:22","301","314","-6","18:48","26","0","0","0","0","0"
"AS","12/20/2022","0500","N247AK","SEA","18:25","19:30","308","332","65","19:45","15","31","0","24","0","34"
"AS","12/20/2023","0391","N275AK","SEA","18:45","18:39","297","264","-6","18:52","13","0","0","0","0","0"
"AS","12/21/2022","0500","N248AK","SEA","18:25","19:22","308","294","57","19:40","18","43","0","0","0","0"
"AS","12/21/2023","0391","N292AK","SEA","18:45","19:31","297","270","46","19:47","16","0","0","0","0","19"
"AS","12/22/2021","0501","N248AK","SEA","18:28","18:50","301","308","22","19:07","17","0","0","12","0","17"
"AS","12/22/2022","0500","N948AK","SEA","18:25","19:17","308","428","52","21:42","145","0","52","120","0","0"
"AS","12/22/2023","0391","N274AK","SEA","18:45","18:53","297","284","8","19:05","12","0","0","0","0","0"
"AS","12/23/2021","0501","N524AS","SEA","18:28","18:20","301","321","-8","18:36","16","0","0","0","0","0"
"AS","12/23/2022","0500","N973AK","SEA","18:25","00:00","308","0","0","00:00","0","0","0","0","0","0"
"AS","12/23/2023","0391","N967AK","SEA","18:45","18:51","297","271","6","19:09","18","0","0","0","0","0"
"AS","12/24/2021","0501","N280AK","SEA","18:28","18:17","301","305","-11","18:28","11","0","0","0","0","0"
"AS","12/24/2022","0500","N247AK","SEA","18:25","20:09","308","301","104","20:30","21","0","97","0","0","0"
"AS","12/24/2023","0391","N935AK","SEA","18:53","18:47","297","271","-6","19:00","13","0","0","0","0","0"
"AS","12/25/2021","0501","N265AK","SEA","18:28","18:19","301","303","-9","18:31","12","0","0","0","0","0"
"AS","12/25/2022","0500","N557AS","SEA","18:25","19:47","308","312","82","20:04","17","82","0","4","0","0"
"AS","12/25/2023","0391","N413AS","SEA","18:45","19:14","297","262","29","19:31","17","0","0","0","0","0"
"AS","12/26/2021","0501","N281AK","SEA","18:28","00:00","301","0","0","00:00","0","0","0","0","0","0"
"AS","12/26/2022","0500","N973AK","SEA","18:25","21:48","308","354","203","22:52","64","0","203","46","0","0"
"AS","12/26/2023","0391","N268AK","SEA","18:45","18:42","297","261","-3","18:54","12","0","0","0","0","0"
"AS","12/27/2021","0501","N251AK","SEA","18:28","19:09","301","315","41","19:17","8","7","0","14","0","34"
"AS","12/27/2022","0500","N224AK","SEA","18:25","18:43","308","0","18","19:24","41","0","0","0","0","0"
"AS","12/27/2023","0391","N251AK","SEA","18:45","18:50","297","255","5","19:03","13","0","0","0","0","0"
"AS","12/28/2022","0500","N486AS","SEA","18:25","19:31","308","273","66","19:47","16","0","0","0","0","31"
"AS","12/28/2023","0391","N288AK","SEA","18:45","18:42","297","288","-3","19:17","35","0","0","0","0","0"
"AS","12/29/2021","0501","N265AK","SEA","18:28","00:00","301","0","0","00:00","0","0","0","0","0","0"
"AS","12/29/2022","0500","N277AK","SEA","18:25","18:46","308","270","21","19:00","14","0","0","0","0","0"
"AS","12/29/2023","0391","N918AK","SEA","18:45","18:42","297","260","-3","18:54","12","0","0","0","0","0"
"AS","12/30/2021","0501","N570AS","SEA","18:28","00:00","301","0","0","00:00","0","0","0","0","0","0"
"AS","12/30/2022","0500","N287AK","SEA","18:25","19:57","308","290","92","20:07","10","0","0","0","0","74"
"AS","12/30/2023","0391","N237AK","SEA","18:45","18:53","297","268","8","19:09","16","0","0","0","0","0"
"AS","12/31/2021","0501","N265AK","SEA","18:28","19:03","301","303","35","19:18","15","0","0","2","35","0"
"AS","12/31/2022","0500","N975AK","SEA","18:25","18:48","308","293","23","19:16","28","0","0","0","0","0"
"AS","12/31/2023","0391","N294AK","SEA","18:45","19:02","297","270","17","19:15","13","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
