Detailed Statistics Departures  
Origin Airport: Islip, NY: Long Island MacArthur (ISP)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0449","N8559Q","BNA","14:25","14:19","150","147","-6","14:31","12","0","0","0","0","0"
"WN","12/01/2021","0596","N446WN","MCO","12:45","12:40","170","161","-5","12:52","12","0","0","0","0","0"
"WN","12/01/2021","0759","N411WN","BWI","11:10","11:10","80","60","0","11:15","5","0","0","0","0","0"
"WN","12/01/2021","1473","N286WN","BWI","15:50","15:43","75","68","-7","15:53","10","0","0","0","0","0"
"WN","12/01/2021","5126","N8578Q","BWI","06:00","05:56","85","68","-4","06:12","16","0","0","0","0","0"
"WN","12/01/2021","5134","N298WN","BWI","09:05","09:47","80","72","42","10:00","13","34","0","0","0","0"
"WN","12/01/2021","5139","N292WN","PBI","07:05","07:07","180","159","2","07:16","9","0","0","0","0","0"
"WN","12/01/2022","0845","N948WN","BWI","10:10","10:05","75","64","-5","10:11","6","0","0","0","0","0"
"WN","12/01/2022","0859","N7875A","MCO","07:25","07:23","170","159","-2","07:31","8","0","0","0","0","0"
"WN","12/01/2022","1625","N8694E","BWI","16:55","16:46","75","66","-9","16:52","6","0","0","0","0","0"
"WN","12/01/2022","1724","N8638A","PBI","12:45","13:08","175","172","23","13:15","7","20","0","0","0","0"
"WN","12/01/2022","1782","N272WN","BNA","16:30","16:36","160","152","6","16:44","8","0","0","0","0","0"
