Detailed Statistics Departures  
Origin Airport: Atlanta, GA: Hartsfield-Jackson Atlanta International (ATL)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","6067","N87368","IAD","14:30","14:50","112","103","20","15:04","14","0","0","0","0","0"
"YV","12/01/2021","6098","N88330","IAD","05:45","05:44","110","107","-1","06:00","16","0","0","0","0","0"
"YV","12/01/2021","6197","N89313","IAH","11:45","11:45","148","134","0","12:04","19","0","0","0","0","0"
"YV","12/01/2021","6294","N89317","IAH","15:45","15:43","148","125","-2","16:00","17","0","0","0","0","0"
"YV","12/01/2021","6317","N85369","IAH","07:25","14:40","147","133","435","15:02","22","421","0","0","0","0"
"YV","12/01/2021","6367","N86347","IAH","19:00","18:54","152","123","-6","19:10","16","0","0","0","0","0"
"YV","12/01/2021","6379","N88330","IAH","09:30","00:00","147","0","0","00:00","0","0","0","0","0","0"
"YV","12/01/2022","6044","N89308","IAH","11:38","11:39","147","134","1","11:50","11","0","0","0","0","0"
"YV","12/01/2022","6130","N89357","IAD","09:30","09:26","111","102","-4","09:48","22","0","0","0","0","0"
"YV","12/01/2022","6156","N86334","IAH","15:43","15:41","147","140","-2","15:54","13","0","0","0","0","0"
"YV","12/01/2022","6326","N86350","IAH","07:21","07:16","145","146","-5","07:42","26","0","0","0","0","0"
"YV","12/01/2023","6011","N82314","IAH","09:45","09:42","143","139","-3","09:55","13","0","0","0","0","0"
"YV","12/01/2023","6017","N88346","IAH","07:00","06:57","147","175","-3","07:48","51","0","0","25","0","0"
"YV","12/01/2023","6117","N86350","IAH","12:00","11:56","149","128","-4","12:08","12","0","0","0","0","0"
"YV","12/02/2021","6067","N84378","IAD","14:30","14:45","112","111","15","15:00","15","0","0","0","0","0"
"YV","12/02/2021","6098","N88301","IAD","05:45","05:41","110","105","-4","05:54","13","0","0","0","0","0"
"YV","12/02/2021","6197","N87380","IAH","11:45","11:42","148","127","-3","12:01","19","0","0","0","0","0"
"YV","12/02/2021","6294","N82333","IAH","15:45","15:44","148","0","-1","16:07","23","0","0","0","0","0"
"YV","12/02/2021","6317","N89362","IAH","07:25","07:21","147","125","-4","07:42","21","0","0","0","0","0"
"YV","12/02/2021","6367","N88328","IAH","19:00","18:55","152","119","-5","19:10","15","0","0","0","0","0"
"YV","12/02/2022","6044","N80348","IAH","11:38","11:32","147","132","-6","11:44","12","0","0","0","0","0"
"YV","12/02/2022","6130","N89317","IAD","09:30","09:54","111","109","24","10:18","24","22","0","0","0","0"
"YV","12/02/2022","6156","N85323","IAH","15:43","15:39","147","138","-4","15:56","17","0","0","0","0","0"
"YV","12/02/2022","6326","N88346","IAH","07:21","07:20","145","162","-1","07:46","26","0","0","16","0","0"
"YV","12/02/2023","6011","N88325","IAH","09:45","10:30","143","131","45","10:42","12","33","0","0","0","0"
"YV","12/02/2023","6017","N83329","IAH","07:00","06:59","147","148","-1","07:10","11","0","0","0","0","0"
"YV","12/02/2023","6117","N86316","IAH","12:00","11:58","149","131","-2","12:10","12","0","0","0","0","0"
"YV","12/03/2021","6067","N85376","IAD","14:30","14:28","112","104","-2","14:43","15","0","0","0","0","0"
