Detailed Statistics Departures  
Origin Airport: Jackson, WY: Jackson Hole (JAC)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/03/2022","0362","N607AS","SEA","15:10","14:56","118","115","-14","15:07","11","0","0","0","0","0"
"AS","12/10/2022","0362","N593AS","SEA","15:10","14:55","118","121","-15","15:12","17","0","0","0","0","0"
"AS","12/14/2023","0707","N615AS","SFO","14:00","13:35","165","148","-25","13:55","20","0","0","0","0","0"
"AS","12/15/2022","0362","N607AS","SEA","16:45","16:36","140","132","-9","17:03","27","0","0","0","0","0"
"AS","12/15/2023","0707","N618AS","SFO","14:00","13:49","165","138","-11","14:04","15","0","0","0","0","0"
"AS","12/16/2022","0362","N619AS","SEA","16:45","16:38","140","124","-7","16:57","19","0","0","0","0","0"
"AS","12/16/2023","0717","N618AS","SFO","15:30","15:11","165","131","-19","15:24","13","0","0","0","0","0"
"AS","12/17/2022","0362","N611AS","SEA","16:45","16:43","140","136","-2","17:02","19","0","0","0","0","0"
"AS","12/17/2023","0707","N613AS","SFO","14:00","13:44","165","139","-16","14:01","17","0","0","0","0","0"
"AS","12/18/2022","0362","N613AS","SEA","16:45","17:47","140","144","62","18:14","27","62","0","4","0","0"
"AS","12/18/2023","0707","N613AS","SFO","14:00","13:53","165","155","-7","14:12","19","0","0","0","0","0"
"AS","12/19/2022","0362","N611AS","SEA","16:45","16:53","140","134","8","17:07","14","0","0","0","0","0"
"AS","12/19/2023","0707","N613AS","SFO","14:00","13:56","165","141","-4","14:09","13","0","0","0","0","0"
"AS","12/20/2022","0362","N622AS","SEA","16:45","18:10","140","159","85","18:49","39","0","0","19","0","85"
"AS","12/20/2023","0707","N622AS","SFO","14:00","14:04","165","159","4","14:29","25","0","0","0","0","0"
"AS","12/21/2022","0362","N612AS","SEA","16:45","16:39","140","132","-6","16:48","9","0","0","0","0","0"
"AS","12/21/2023","0707","N622AS","SFO","14:00","13:43","165","142","-17","14:04","21","0","0","0","0","0"
"AS","12/22/2022","0362","N619AS","SEA","16:45","17:55","140","129","70","18:09","14","11","0","0","0","48"
"AS","12/22/2023","0707","N622AS","SFO","14:00","13:45","165","133","-15","14:05","20","0","0","0","0","0"
"AS","12/23/2022","0362","N622AS","SEA","16:45","00:00","140","0","0","00:00","0","0","0","0","0","0"
"AS","12/23/2023","0717","N607AS","SFO","15:30","15:14","165","147","-16","15:43","29","0","0","0","0","0"
"AS","12/24/2022","0362","N618AS","SEA","16:45","17:51","140","147","66","18:21","30","11","0","7","0","55"
"AS","12/24/2023","0707","N611AS","SFO","14:00","13:42","165","124","-18","13:54","12","0","0","0","0","0"
"AS","12/25/2022","0362","N615AS","SEA","16:45","16:50","140","127","5","17:05","15","0","0","0","0","0"
"AS","12/25/2023","0707","N565AS","SFO","14:00","18:33","165","135","273","18:51","18","0","0","0","0","243"
"AS","12/26/2022","0362","N613AS","SEA","16:45","16:54","140","138","9","17:24","30","0","0","0","0","0"
"AS","12/26/2023","0707","N618AS","SFO","14:00","14:06","165","0","6","14:24","18","0","0","0","0","0"
"AS","12/27/2022","0362","N622AS","SEA","16:45","18:25","140","121","100","18:42","17","0","0","30","0","51"
"AS","12/27/2023","0707","N618AS","SFO","14:00","00:00","165","0","0","00:00","0","0","0","0","0","0"
"AS","12/28/2022","0362","N615AS","SEA","16:45","17:03","140","132","18","17:26","23","0","0","0","0","0"
"AS","12/28/2023","0707","N506AS","SFO","14:00","14:16","165","135","16","14:32","16","0","0","0","0","0"
"AS","12/29/2022","0362","N644AS","SEA","16:45","16:43","140","123","-2","16:54","11","0","0","0","0","0"
"AS","12/29/2023","0707","N506AS","SFO","14:00","16:04","165","139","124","16:22","18","0","0","0","0","98"
"AS","12/30/2022","0362","N615AS","SEA","16:45","16:47","140","135","2","17:01","14","0","0","0","0","0"
"AS","12/30/2023","0717","N512AS","SFO","15:30","15:21","165","131","-9","15:39","18","0","0","0","0","0"
"AS","12/31/2022","0362","N612AS","SEA","16:45","17:03","140","111","18","17:12","9","0","0","0","0","0"
"AS","12/31/2023","0707","N518AS","SFO","14:00","14:06","165","124","6","14:18","12","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
