Detailed Statistics Departures  
Origin Airport: Jackson, WY: Jackson Hole (JAC)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","2596","N4005X","DFW","14:57","14:50","170","153","-7","15:04","14","0","0","0","0","0"
"AA","12/01/2022","2596","N9004F","DFW","14:06","14:14","159","199","8","15:07","53","0","0","40","0","8"
"AA","12/01/2023","1916","N9004F","DFW","13:37","13:28","178","202","-9","14:08","40","0","0","15","0","0"
"AA","12/02/2021","2454","N9018E","DFW","14:57","14:47","170","169","-10","14:57","10","0","0","0","0","0"
"AA","12/02/2022","2596","N821AW","DFW","14:06","14:05","159","160","-1","14:24","19","0","0","0","0","0"
"AA","12/02/2023","1916","N9006","DFW","13:37","13:33","178","189","-4","14:22","49","0","0","0","0","0"
"AA","12/03/2021","2454","N8009T","DFW","14:57","14:48","170","156","-9","15:05","17","0","0","0","0","0"
"AA","12/03/2022","2596","N9008U","DFW","14:06","14:04","159","165","-2","14:33","29","0","0","0","0","0"
"AA","12/03/2023","1916","N8031M","DFW","13:37","14:19","178","175","42","14:55","36","0","0","0","0","39"
"AA","12/04/2021","2454","N9012","DFW","14:57","14:47","170","171","-10","14:57","10","0","0","0","0","0"
"AA","12/04/2022","2596","N8031M","DFW","14:06","18:06","159","181","240","18:54","48","0","15","22","0","225"
"AA","12/04/2023","1916","N8009T","DFW","13:37","13:28","178","151","-9","13:37","9","0","0","0","0","0"
"AA","12/05/2021","2454","N8030F","DFW","14:57","15:09","170","191","12","15:56","47","0","0","21","0","12"
"AA","12/05/2022","2596","N8031M","DFW","14:06","14:00","159","146","-6","14:10","10","0","0","0","0","0"
"AA","12/05/2023","1916","N9011P","DFW","13:37","13:27","188","154","-10","13:36","9","0","0","0","0","0"
"AA","12/06/2021","2454","N9012","DFW","14:57","15:54","170","189","57","16:36","42","0","0","19","0","57"
"AA","12/06/2022","2596","N9002U","DFW","14:06","13:57","159","181","-9","14:33","36","0","0","0","0","0"
"AA","12/06/2023","1916","N8009T","DFW","13:37","13:33","188","157","-4","13:46","13","0","0","0","0","0"
"AA","12/07/2021","2454","N8030F","DFW","14:57","14:53","170","150","-4","15:03","10","0","0","0","0","0"
"AA","12/07/2022","2596","N9022G","DFW","14:06","14:00","159","165","-6","14:13","13","0","0","0","0","0"
"AA","12/07/2023","1916","N8001N","DFW","13:37","13:29","188","209","-8","14:10","41","0","0","0","0","0"
"AA","12/08/2021","2454","N9002U","DFW","14:57","14:51","170","160","-6","15:01","10","0","0","0","0","0"
"AA","12/08/2022","2596","N90024","DFW","14:06","16:49","159","150","163","17:05","16","0","0","0","0","154"
"AA","12/08/2023","1916","N773XF","DFW","13:37","13:41","188","180","4","14:01","20","0","0","0","0","0"
"AA","12/09/2021","2454","N8009T","DFW","14:57","14:56","170","157","-1","15:08","12","0","0","0","0","0"
"AA","12/09/2022","2596","N90024","DFW","14:06","14:18","159","179","12","14:54","36","0","0","20","0","12"
"AA","12/09/2023","1916","N5007E","DFW","13:37","13:41","188","164","4","14:08","27","0","0","0","0","0"
"AA","12/10/2021","2454","N9002U","DFW","14:57","14:55","170","194","-2","15:56","61","0","0","22","0","0"
"AA","12/10/2022","2596","N9015D","DFW","14:06","14:44","159","168","38","15:08","24","0","17","9","0","21"
"AA","12/10/2023","1916","N3014R","DFW","13:37","13:45","188","172","8","14:18","33","0","0","0","0","0"
"AA","12/11/2021","2454","N4005X","DFW","14:57","14:44","170","188","-13","15:25","41","0","0","0","0","0"
"AA","12/11/2022","2596","N9025B","DFW","14:06","14:40","159","202","34","15:36","56","0","0","43","0","34"
"AA","12/11/2023","1916","N9019F","DFW","13:37","13:33","188","146","-4","13:44","11","0","0","0","0","0"
"AA","12/12/2021","2454","N9021H","DFW","14:57","16:14","170","185","77","16:56","42","1","0","15","0","76"
"AA","12/12/2022","2596","N9008U","DFW","14:06","14:57","159","214","51","15:44","47","0","0","55","0","51"
"AA","12/12/2023","1916","N8001N","DFW","13:37","13:36","188","165","-1","13:50","14","0","0","0","0","0"
"AA","12/13/2021","2454","N9012","DFW","14:57","14:53","170","164","-4","15:04","11","0","0","0","0","0"
"AA","12/13/2022","2596","N9022G","DFW","14:06","16:06","159","151","120","16:18","12","0","0","0","0","112"
"AA","12/13/2023","1916","N9021H","DFW","13:37","13:30","188","167","-7","13:42","12","0","0","0","0","0"
"AA","12/14/2021","2454","N4005X","DFW","14:57","14:52","170","202","-5","15:42","50","0","0","27","0","0"
"AA","12/14/2022","2596","N9018E","DFW","14:06","14:05","159","149","-1","14:17","12","0","0","0","0","0"
"AA","12/14/2023","1916","N9022G","DFW","13:37","13:27","188","153","-10","13:39","12","0","0","0","0","0"
"AA","12/15/2021","2454","N4005X","DFW","14:57","15:04","170","163","7","15:15","11","0","0","0","0","0"
"AA","12/15/2022","1189","N9018E","MIA","11:48","12:06","296","342","18","12:51","45","0","0","46","0","18"
"AA","12/15/2022","2596","N9022G","DFW","12:21","12:00","183","150","-21","12:16","16","0","0","0","0","0"
"AA","12/15/2022","2649","N775XF","ORD","11:16","12:45","202","195","89","13:05","20","0","0","0","0","82"
"AA","12/15/2022","2668","N9012","DFW","15:04","14:59","186","175","-5","15:38","39","0","0","0","0","0"
"AA","12/15/2023","1916","N90024","DFW","13:37","13:26","188","147","-11","13:36","10","0","0","0","0","0"
"AA","12/16/2021","0671","N4005X","DFW","11:43","11:46","189","191","3","12:30","44","0","0","0","0","0"
"AA","12/16/2021","1591","N9017P","ORD","13:21","13:07","204","169","-14","13:30","23","0","0","0","0","0"
"AA","12/16/2021","1998","N9012","JFK","15:00","07:52","284","270","1012","08:44","52","690","0","0","0","308"
"AA","12/16/2021","2454","N9023N","DFW","14:11","14:08","190","200","-3","15:03","55","0","0","0","0","0"
"AA","12/16/2022","1189","N5007E","MIA","11:48","11:49","296","303","1","12:05","16","0","0","0","0","0"
"AA","12/16/2022","2596","N3014R","DFW","12:21","13:28","183","166","67","14:00","32","0","0","0","0","50"
"AA","12/16/2022","2649","N763US","ORD","11:16","11:05","202","190","-11","11:25","20","0","0","0","0","0"
"AA","12/16/2022","2668","N9026C","DFW","15:04","17:17","186","161","133","17:33","16","0","0","0","0","108"
"AA","12/16/2023","1916","N9021H","DFW","13:37","13:46","188","158","9","14:05","19","0","0","0","0","0"
"AA","12/17/2021","0671","N9019F","DFW","11:43","11:32","189","153","-11","11:45","13","0","0","0","0","0"
"AA","12/17/2021","1591","N817AW","ORD","13:21","15:54","204","161","153","16:04","10","0","0","0","0","110"
"AA","12/17/2021","1998","N4005X","JFK","15:00","15:04","284","278","4","15:36","32","0","0","0","0","0"
"AA","12/17/2021","2454","N9008U","DFW","14:11","14:59","190","165","48","15:21","22","5","0","0","0","18"
"AA","12/17/2022","0408","N8031M","LGA","12:07","11:45","279","251","-22","12:12","27","0","0","0","0","0"
"AA","12/17/2022","1189","N93003","MIA","11:56","11:45","291","263","-11","11:56","11","0","0","0","0","0"
"AA","12/17/2022","2596","N9016","DFW","13:05","12:59","183","166","-6","13:35","36","0","0","0","0","0"
"AA","12/17/2022","2649","N827AW","ORD","11:07","12:49","202","204","102","13:27","38","0","0","2","0","102"
"AA","12/17/2022","2668","N90024","DFW","15:04","15:47","186","170","43","16:18","31","0","0","0","0","27"
"AA","12/17/2023","1916","N9029F","DFW","13:37","14:06","188","152","29","14:29","23","0","0","0","0","0"
"AA","12/18/2021","0671","N9017P","DFW","11:43","12:34","189","152","51","12:44","10","0","0","0","0","0"
"AA","12/18/2021","1591","N769US","ORD","13:31","19:50","204","168","379","20:05","15","0","0","0","0","343"
"AA","12/18/2021","1998","N9019F","JFK","15:00","14:56","284","250","-4","15:15","19","0","0","0","0","0"
"AA","12/18/2021","2454","N4005X","DFW","14:01","14:06","190","165","5","14:30","24","0","0","0","0","0"
"AA","12/18/2021","2902","N9025B","CLT","13:01","12:52","247","236","-9","13:22","30","0","0","0","0","0"
"AA","12/18/2022","1189","N12028","MIA","11:48","11:36","296","283","-12","12:01","25","0","0","0","0","0"
"AA","12/18/2022","2596","N9008U","DFW","12:21","12:09","183","156","-12","12:21","12","0","0","0","0","0"
"AA","12/18/2022","2649","N9006","ORD","11:16","11:12","202","159","-4","11:22","10","0","0","0","0","0"
"AA","12/18/2022","2668","N9029F","DFW","15:04","14:50","186","169","-14","15:15","25","0","0","0","0","0"
"AA","12/18/2023","1916","N9021H","DFW","13:37","13:29","188","168","-8","13:39","10","0","0","0","0","0"
"AA","12/19/2021","0671","N9018E","DFW","11:43","11:38","189","151","-5","11:52","14","0","0","0","0","0"
"AA","12/19/2021","1591","N12028","ORD","13:21","13:12","204","181","-9","13:40","28","0","0","0","0","0"
"AA","12/19/2021","1998","N9004F","JFK","15:00","14:47","284","238","-13","15:01","14","0","0","0","0","0"
"AA","12/19/2021","2454","N9026C","DFW","14:11","14:01","190","157","-10","14:19","18","0","0","0","0","0"
"AA","12/19/2022","1189","N9006","MIA","11:48","12:24","296","270","36","12:40","16","0","0","0","0","0"
"AA","12/19/2022","2596","N5007E","DFW","12:21","13:59","183","158","98","14:12","13","73","0","0","0","0"
"AA","12/19/2022","2649","N9016","ORD","11:16","11:17","202","166","1","11:28","11","0","0","0","0","0"
