Detailed Statistics Departures  
Origin Airport: Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International (JAN)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1204","N921AT","ATL","17:59","17:44","86","75","-15","17:56","12","0","0","0","0","0"
"DL","12/01/2021","1342","N986AT","ATL","15:37","15:36","77","66","-1","15:45","9","0","0","0","0","0"
"DL","12/01/2021","1584","N939AT","ATL","12:47","12:47","78","66","0","12:57","10","0","0","0","0","0"
"DL","12/01/2021","2324","N978AT","ATL","06:00","05:55","80","71","-5","06:09","14","0","0","0","0","0"
"DL","12/01/2021","2479","N949AT","ATL","09:33","09:27","80","67","-6","09:40","13","0","0","0","0","0"
"DL","12/01/2021","2642","N717JL","ATL","07:30","07:25","84","67","-5","07:35","10","0","0","0","0","0"
"DL","12/01/2022","0976","N934AT","ATL","09:37","09:30","80","70","-7","09:46","16","0","0","0","0","0"
"DL","12/01/2022","1271","N947AT","ATL","15:18","15:19","78","62","1","15:27","8","0","0","0","0","0"
"DL","12/01/2022","1292","N954AT","ATL","12:26","13:26","81","80","60","13:36","10","0","0","0","0","59"
"DL","12/01/2022","1495","N939AT","ATL","05:40","05:35","85","68","-5","05:46","11","0","0","0","0","0"
"DL","12/01/2022","2400","N929AT","ATL","19:26","19:29","84","66","3","19:40","11","0","0","0","0","0"
"DL","12/01/2022","2642","N995AT","ATL","07:50","07:44","83","86","-6","08:03","19","0","0","0","0","0"
"DL","12/01/2023","0815","N982AT","ATL","09:24","09:11","76","61","-13","09:19","8","0","0","0","0","0"
"DL","12/01/2023","2208","N920AT","ATL","17:00","16:57","80","74","-3","17:11","14","0","0","0","0","0"
"DL","12/01/2023","2374","N957AT","ATL","12:18","12:08","77","69","-10","12:23","15","0","0","0","0","0"
"DL","12/01/2023","2741","N990AT","ATL","06:00","05:53","83","75","-7","06:10","17","0","0","0","0","0"
"DL","12/01/2023","2802","N919AT","ATL","07:45","07:39","83","71","-6","07:52","13","0","0","0","0","0"
"DL","12/02/2021","1204","N927AT","ATL","17:59","17:57","86","79","-2","18:09","12","0","0","0","0","0"
"DL","12/02/2021","1215","N932AT","ATL","19:22","19:11","83","86","-11","19:34","23","0","0","0","0","0"
"DL","12/02/2021","1342","N966AT","ATL","15:37","15:35","77","66","-2","15:44","9","0","0","0","0","0"
"DL","12/02/2021","1584","N926AT","ATL","12:47","12:42","78","68","-5","12:52","10","0","0","0","0","0"
"DL","12/02/2021","2324","N944AT","ATL","06:00","05:56","80","76","-4","06:08","12","0","0","0","0","0"
"DL","12/02/2021","2479","N954AT","ATL","09:33","09:40","80","66","7","09:49","9","0","0","0","0","0"
"DL","12/02/2021","2642","N979AT","ATL","07:30","07:25","84","67","-5","07:34","9","0","0","0","0","0"
"DL","12/02/2022","0976","N939AT","ATL","09:37","09:27","80","68","-10","09:38","11","0","0","0","0","0"
"DL","12/02/2022","1271","N966AT","ATL","15:18","15:12","78","63","-6","15:21","9","0","0","0","0","0"
"DL","12/02/2022","1292","N985AT","ATL","12:26","12:17","81","63","-9","12:25","8","0","0","0","0","0"
"DL","12/02/2022","1495","N608AT","ATL","05:40","05:34","85","68","-6","05:46","12","0","0","0","0","0"
"DL","12/02/2022","2400","N983AT","ATL","19:26","19:22","84","65","-4","19:31","9","0","0","0","0","0"
"DL","12/02/2022","2642","N936AT","ATL","07:50","07:47","83","72","-3","08:00","13","0","0","0","0","0"
"DL","12/02/2023","0815","N919AT","ATL","09:24","09:24","76","72","0","09:34","10","0","0","0","0","0"
"DL","12/02/2023","2208","N990AT","ATL","17:00","16:56","80","67","-4","17:05","9","0","0","0","0","0"
"DL","12/02/2023","2374","N983AT","ATL","12:18","12:18","77","64","0","12:26","8","0","0","0","0","0"
"DL","12/02/2023","2741","N947AT","ATL","06:00","05:56","83","75","-4","06:08","12","0","0","0","0","0"
"DL","12/02/2023","2802","N943AT","ATL","07:45","07:42","83","71","-3","07:54","12","0","0","0","0","0"
"DL","12/03/2021","1204","N926AT","ATL","17:59","17:54","86","78","-5","18:06","12","0","0","0","0","0"
"DL","12/03/2021","1215","N939AT","ATL","19:22","19:10","83","62","-12","19:17","7","0","0","0","0","0"
"DL","12/03/2021","1342","N938AT","ATL","15:37","15:31","77","75","-6","15:44","13","0","0","0","0","0"
"DL","12/03/2021","1584","N965AT","ATL","12:47","12:42","78","70","-5","12:54","12","0","0","0","0","0"
"DL","12/03/2021","2324","N944AT","ATL","06:00","05:55","80","76","-5","06:09","14","0","0","0","0","0"
"DL","12/03/2021","2479","N926AT","ATL","09:33","09:30","80","69","-3","09:39","9","0","0","0","0","0"
"DL","12/03/2021","2642","N717JL","ATL","07:30","07:23","84","63","-7","07:30","7","0","0","0","0","0"
"DL","12/03/2022","0976","N923AT","ATL","09:42","09:35","80","69","-7","09:45","10","0","0","0","0","0"
"DL","12/03/2022","1271","N938AT","ATL","15:18","15:10","78","66","-8","15:18","8","0","0","0","0","0"
"DL","12/03/2022","1292","N947AT","ATL","12:26","12:20","81","70","-6","12:29","9","0","0","0","0","0"
"DL","12/03/2022","1495","N983AT","ATL","05:40","05:34","85","74","-6","05:44","10","0","0","0","0","0"
"DL","12/03/2022","2642","N950AT","ATL","07:50","07:46","83","72","-4","07:58","12","0","0","0","0","0"
"DL","12/03/2023","0815","N942AT","ATL","09:24","09:32","76","68","8","09:45","13","0","0","0","0","0"
"DL","12/03/2023","2208","N970AT","ATL","17:00","16:53","80","88","-7","17:24","31","0","0","0","0","0"
"DL","12/03/2023","2374","N998AT","ATL","12:18","12:12","77","69","-6","12:23","11","0","0","0","0","0"
